"code","iso","country","TBG.ind.1995","TBG.ind.1996","TBG.ind.1997","TBG.ind.1998","TBG.ind.1999","TBG.ind.2000","TBG.ind.2001","TBG.ind.2002","TBG.ind.2003","TBG.ind.2004","TBG.ind.2005","TBG.ind.2006","TBG.ind.2007","TBG.ind.2008","TBG.ind.2009","TBG.ind.2010","TBG.ind.2011","TBG.ind.2012","TBG.ind.2013","TBG.ind.2014","TBG.ind.2015","TBG.ind.2016","TBG.ind.2017","TBG.ind.2018","TBG.ind.2019","TBG.ind.2020"
4,"AFG","Afghanistan",0.19558575490492,0.195585754904896,0.195585754904965,0.195585754904962,0.195585754905028,0.195585754905009,0.195585754904955,0.195585754904945,0.195585754904938,0.195585754904942,0.195585754904976,0.195585754904983,0.195585754904973,0.1955857549049,0.195585754904875,1.34316955280426,1.34316955280475,1.34316955280449,1.34316955280449,1.34316955280442,1.34316955280432,1.3431695528044,1.34316955280431,1.34316955280431,1.34316955280426,1.34316955280426
8,"ALB","Albania",5.45423898402736,7.51285809232853,15.6335597919518,16.4208532751899,16.4208532751899,27.7999977691946,27.7999977691953,27.7999977691949,27.8985985247056,29.3027710571931,33.5957597535795,44.1802944101074,55.8154362400754,64.1569649652088,79.0753214490694,79.0753214490694,80.7998740925247,82.5732726476688,88.2849754259412,90.6392470322671,90.6392470322671,90.6392470322671,90.6392470322671,90.6392470322671,100,100
12,"DZA","Algeria",19.3065325361514,19.3065325361402,19.306532536148,19.3065325361415,19.3065325361395,19.4962017123952,19.4962017124023,40.0198809373302,40.0198809373109,44.5236822275319,45.6322365107918,45.6322365107907,45.6361121923009,45.6361121923009,45.6361121922967,45.8209950630282,45.8209950630258,45.9139448369197,45.9139448369213,45.9139448369202,45.9139448369198,45.9139448369186,45.9139448369179,45.9139448369169,45.9139448369165,45.9139448369165
20,"AND","Andorra",13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,87.3048824243323,87.3048824243323,87.3048824243323,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",36.5845978227192,36.5845978226896,36.5845978226696,36.5845978226648,36.5845978226587,36.5845978226562,36.5845978227088,36.5845978227179,36.5845978227255,36.5845978227305,36.5845978227559,36.5845978227559,36.5845978227554,36.5845978227611,36.5845978227214,36.5845978227167,36.5845978227101,36.5845978815998,36.5845978815942,36.5845978815872,36.5845978815939,36.5845978815957,36.5845978815943,36.5845978815939,36.5845978815965,36.584597881597
660,"AIA","Anguilla",1.88198838510604,1.88198838510516,1.88198838510455,1.8819883851048,1.88198838510478,1.88198838510537,1.88198838510601,1.88198838510566,1.88198838510437,1.88198838510428,1.88198838510372,1.88198838510356,1.8819883851034,1.92115415505224,1.92115415505169,1.92115415505178,1.92115415505152,1.92115415505166,1.92115415505158,1.92115415505151,1.92115415505198,1.92115415505189,1.92115415505185,1.92115415505171,1.92115415505173,1.92115415505172
28,"ATG","Antigua and Barbuda",57.4089366845362,57.4089366845536,57.4089366845665,57.4089366845616,57.4089366845622,57.4089366845501,57.4089366845358,57.4089366845425,57.4089366845662,57.4089366845682,57.4089366845776,86.7632374487812,86.7632374487806,86.76323744878,87.3018490431424,87.3018490431424,87.3018490431418,87.3018490431476,87.3018490431476,87.3018490431471,87.3018490431482,87.3018490431482,87.3018490431482,87.3018490431476,87.3018490431476,87.3018490431476
32,"ARG","Argentina",29.742346583286,30.4218291933578,30.9067236116319,32.3959167623296,32.517648460016,34.1647737419841,36.2352960306506,43.1181903444629,43.4337319769353,50.9152612551766,54.4384405248558,54.7831211040931,55.1726749699551,55.1966969313204,55.3765370976989,55.4505588381182,55.4710793515948,55.4941521141591,55.6314006220187,55.6793679970372,55.8041327004155,56.4033078541091,56.4071815016921,56.5833476610825,56.7149403621849,56.7149403621852
51,"ARM","Armenia",99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9983560847435,99.9983560847435,99.9983560847435,99.9983560847435,99.9983560847435,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712
533,"ABW","Aruba",2.34329395462477,2.34329395462484,2.34329395462484,2.34329395462482,2.34329395462485,2.34329395462486,52.7550085404919,52.7550085404915,52.7550085404926,52.7550085404928,52.7550085404938,52.7550085404938,52.7550085404936,52.7550085404939,52.755008540492,52.7550085404919,52.7550085404914,52.755008540492,52.7550085404916,52.7550085404912,52.7550085404915,52.7550085404916,52.7550085404915,52.7550085404915,52.7550085404916,52.7550085404916
36,"AUS","Australia",36.2009009702487,36.4403859759109,37.0246030850695,37.6259943043402,37.9686685301308,39.1692304208031,41.2410614254384,41.5239944786217,46.3529972964095,46.990173127186,49.3735562366855,50.5946688676836,51.6845936849729,54.5770226679633,55.7759703245675,59.4478216632006,60.9819694679029,65.9962760370271,69.7537647471576,73.4139353206606,74.9981099688894,77.7584869562918,81.0780056138918,82.2921767414559,82.5320978941453,82.5320978941453
40,"AUT","Austria",92.9616081354182,93.3846260716241,95.1669001143682,95.8580527298853,98.5018307917076,99.1168018176794,99.3143096367547,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
