"code","iso","country","GRL.ind.1995","GRL.ind.1996","GRL.ind.1997","GRL.ind.1998","GRL.ind.1999","GRL.ind.2000","GRL.ind.2001","GRL.ind.2002","GRL.ind.2003","GRL.ind.2004","GRL.ind.2005","GRL.ind.2006","GRL.ind.2007","GRL.ind.2008","GRL.ind.2009","GRL.ind.2010","GRL.ind.2011","GRL.ind.2012","GRL.ind.2013","GRL.ind.2014","GRL.ind.2015","GRL.ind.2016","GRL.ind.2017","GRL.ind.2018","GRL.ind.2019","GRL.ind.2020"
4,"AFG","Afghanistan",65.9736372674862,65.9736372674862,65.9736372674862,62.8571832915259,58.5647714793413,61.3767635987157,59.8523201181552,58.935652156669,59.8254026884906,63.0597759402229,63.3276657730941,67.6521534060959,69.4128902048218,67.8813993362306,64.7939361679719,61.7930387527119,60.6188575785126,60.0726918102599,60.7341057468876,57.3899043088446,60.9461701245695,60.9461701245695,60.9461701245695,60.9461701245695,60.9461701245695,60.9461701245695
8,"ALB","Albania",77.1890849699269,77.1890849699269,77.1890849699269,70.1964833560466,61.043645211678,56.1580429917899,52.4380478168074,51.0309380986242,51.6604624540986,53.8971730112834,59.1253319085586,64.788537282056,62.0026167118571,50.529853619702,48.7924906872019,48.3732953745261,48.7075022041858,51.3416777814213,64.479815512302,72.8972115813988,70.1964833560466,70.1964833560466,70.1964833560466,70.1964833560466,70.1964833560466,70.1964833560466
12,"DZA","Algeria",66.4575767562928,66.4575767562928,66.4575767562928,66.4575767562928,59.6263302931657,59.6263302931657,39.8720831164571,35.1930978781163,2.8655177895791,0,0,0,0,0,8.92421056896904,24.8555342145697,28.4449374047735,34.4020735330405,52.4239864062631,63.2590131647728,69.1706002657589,69.1706002657589,69.1706002657589,69.1706002657589,69.1706002657589,69.1706002657589
20,"AND","Andorra",100,100,100,100,58.2293644429587,58.2293644429587,58.2293644429587,58.2293644429587,53.2603354369647,66.6935500830727,66.6935500830727,66.6935500830727,58.2293644429587,66.6935500830727,58.2293644429587,58.2293644429587,42.8541187271005,44.7488913776461,44.7488913776461,46.9891927754537,46.9891927754537,46.9891927754537,46.9891927754537,46.9891927754537,46.9891927754537,46.9891927754537
24,"AGO","Angola",66.0818062638753,66.0818062638753,66.0818062638753,57.2211096366804,45.7207925960068,38.854534253825,37.5417205890347,36.3958662574319,35.5431902036691,36.1230438037793,41.0799660307828,42.2186715900554,43.2435243292938,44.7601814766156,42.4007141571471,40.4013079235974,39.9251806761947,38.4794151012361,39.0461071004005,45.0623245035999,49.2914989223516,49.2914989223516,49.2914989223516,49.2914989223516,49.2914989223516,49.2914989223516
660,"AIA","Anguilla",66.9580114642145,66.9580114642145,66.9580114642145,58.4953737717744,53.5268647832397,47.2561396019128,41.4795786118395,43.1212448742842,45.0159427785903,45.0159427785903,49.9965764577107,66.9580114642145,66.9580114642145,66.9580114642145,100,100,100,100,66.9580114642145,58.4953737717744,58.4953737717744,58.4953737717744,58.4953737717744,58.4953737717744,58.4953737717744,58.4953737717744
28,"ATG","Antigua and Barbuda",57.8130743020696,57.8130743020696,57.8130743020696,55.9247438106545,54.287857636191,51.5504695995909,51.5504695995909,54.287857636191,37.646715422879,33.9107396945372,34.5110375720214,33.6212198325613,32.791391331613,38.8986119182704,37.646715422879,36.5104308787863,36.8776641539531,37.2561869350132,36.8776641539531,40.7943210222325,39.8100219110255,39.8100219110255,39.8100219110255,39.8100219110255,39.8100219110255,39.8100219110255
32,"ARG","Argentina",55.9917316347662,55.9917316347662,55.9917316347662,49.652816796091,43.1725842984565,39.5113061856738,37.466650257566,36.1196004376315,36.7111662526399,37.597727108313,39.9241749553089,40.0812777690142,39.6098591558559,36.4381654396238,37.2246568417547,37.2079927648902,37.8355524151449,39.1782417797231,44.0285888590099,44.5828408949404,47.2623069286152,47.2623069286152,47.2623069286152,47.2623069286152,47.2623069286152,47.2623069286152
51,"ARM","Armenia",100,100,100,79.1740462073006,62.804871214816,62.2679653580241,55.7051659673699,53.0154209835916,54.3904736896531,59.3572184302521,50.65476385798,48.7620896536082,46.3050614910167,42.2675089466355,42.423792961979,46.233418071909,52.8309443279142,42.2675089466355,46.233418071909,45.881323173778,45.7776283934075,45.7776283934075,45.7776283934075,45.7776283934075,45.7776283934075,45.7776283934075
533,"ABW","Aruba",100,100,100,60.299508121587,60.299508121587,60.299508121587,60.299508121587,60.299508121587,100,100,100,100,100,60.299508121587,43.292376479388,43.292376479388,34.7676999734126,27.8812469556084,13.2371590546175,4.43799896031314,3.92488635712137,3.92488635712137,3.92488635712137,3.92488635712137,3.92488635712137,3.92488635712137
36,"AUS","Australia",43.0938531171445,43.0938531171445,43.0938531171445,38.3347053772146,33.2095179381089,32.2287762714077,29.7536956447535,28.6483810652108,28.3732674776619,29.9094858713051,31.2941094993368,34.2240610749496,35.0868981825295,35.9183903817543,36.6355394637615,36.6827521697372,37.2709408408735,37.8646741916244,39.1714886793619,40.331637086675,43.9727213932585,43.9727213932585,43.9727213932585,43.9727213932585,43.9727213932585,43.9727213932585
40,"AUT","Austria",57.0395246619175,57.0395246619175,57.0395246619175,56.3662337673713,55.5018353487143,62.2088472657394,57.2959228692541,54.1350241409853,49.751051796406,45.4801256101483,45.7907723502978,47.8945227771373,49.9699568019092,53.6526328858565,64.6463234055038,65.533209983387,66.9445106780395,68.6567016077417,78.0631565747127,69.3264055868489,69.9028014695928,69.9028014695928,69.9028014695928,69.9028014695928,69.9028014695928,69.9028014695928
