"code","iso","country","TCL.ind.1995","TCL.ind.1996","TCL.ind.1997","TCL.ind.1998","TCL.ind.1999","TCL.ind.2000","TCL.ind.2001","TCL.ind.2002","TCL.ind.2003","TCL.ind.2004","TCL.ind.2005","TCL.ind.2006","TCL.ind.2007","TCL.ind.2008","TCL.ind.2009","TCL.ind.2010","TCL.ind.2011","TCL.ind.2012","TCL.ind.2013","TCL.ind.2014","TCL.ind.2015","TCL.ind.2016","TCL.ind.2017","TCL.ind.2018","TCL.ind.2019","TCL.ind.2020"
4,"AFG","Afghanistan",50.0964769811924,50.0964769811924,50.0964769811924,50.0964769811924,50.0964769811924,50.0964769811924,50.0964769811924,50.0964769811924,50.0964769811924,50.0964769811924,50.0964769811924,49.2136919150927,48.2948680334979,49.9760402950491,51.8843189140635,54.4319005293012,55.2737502183217,60.6698204060903,64.5602513156775,67.812497057183,73.6722231562744,90.7025761755345,100,95.026483661644,95.026483661644,95.026483661644
8,"ALB","Albania",35.7885562631375,35.7885562631375,35.7885562631375,35.7885562631375,35.7885562631375,35.7885562631375,35.7885562631375,35.7885562631375,35.7885562631375,35.7885562631375,35.7885562631375,40.3384754067234,33.7850553619636,29.0578320844788,30.7012181738044,30.7362355132163,30.5284783411755,30.3786810075182,33.3080328055479,33.63564032952,34.0772630482957,34.3899208238474,40.0790050822302,41.1315262563541,41.1315262563541,41.1315262563541
12,"DZA","Algeria",34.6033927232935,34.6033927232935,34.6033927232935,34.6033927232935,34.6033927232935,34.6033927232935,34.6033927232935,34.6033927232935,34.6033927232935,34.6033927232935,34.6033927232935,33.3642979175782,32.10623194989,30.0174850216961,27.4664489339759,28.1901732001752,27.0608796618141,25.1210932225821,25.4544418657243,25.766255751618,24.7747407602321,24.8783276272236,17.0595706870175,17.2536575608446,17.2536575608446,17.2536575608446
20,"AND","Andorra",65.3793809933017,65.3793809933017,65.3793809933017,65.3793809933017,65.3793809933017,65.3793809933017,65.3793809933017,65.3793809933017,65.3793809933017,65.3793809933017,65.3793809933017,63.5748077110131,63.1611951601565,61.2744996913881,71.4941426532618,72.3058483795049,78.7172695354307,72.3058483795049,74.10445794921,75.1097208315707,74.10445794921,74.10445794921,77.3971247298628,67.4848430507824,67.4848430507824,67.4848430507824
24,"AGO","Angola",44.9220695164188,44.9220695164188,44.9220695164188,44.9220695164188,44.9220695164188,44.9220695164188,44.9220695164188,44.9220695164188,44.9220695164188,44.9220695164188,44.9220695164188,45.7589983801505,43.0673790367937,41.6761538038676,39.4433516793698,38.0845945810312,36.1777932715864,35.5988662840734,34.5981851787861,33.9277497495675,33.9009684711158,33.2650608265135,32.0071992302829,31.1515817596064,31.1515817596064,31.1515817596064
660,"AIA","Anguilla",42.2649420922243,42.2649420922243,42.2649420922243,42.2649420922243,42.2649420922243,42.2649420922243,42.2649420922243,42.2649420922243,42.2649420922243,42.2649420922243,42.2649420922243,44.5703084257289,38.626869149927,34.5991301448247,37.6145504991868,39.7272825869378,39.7272825869378,44.5703084257289,56.1506037288986,61.2698836541131,61.2698836541131,64.8989285140146,70.0074064212623,78.7126888375469,78.7126888375469,78.7126888375469
28,"ATG","Antigua and Barbuda",43.583712688904,43.583712688904,43.583712688904,43.583712688904,43.583712688904,43.583712688904,43.583712688904,43.583712688904,43.583712688904,43.583712688904,43.583712688904,40.6260269128957,39.4638079852617,37.7904669684005,36.02749991731,38.2865017736621,40.4914924162128,40.76200731327,42.5979108973147,45.8207642894827,46.7733686923847,48.1665036489441,44.1069975143511,35.3857900233348,35.3857900233348,35.3857900233348
32,"ARG","Argentina",24.935846589257,24.935846589257,24.935846589257,24.935846589257,24.935846589257,24.935846589257,24.935846589257,24.935846589257,24.935846589257,24.935846589257,24.935846589257,23.3955619289534,20.9031540604019,18.6844170668009,19.4391680796895,19.1537669608009,18.0775212790181,17.7826729339357,19.0330376774364,19.4583212248332,21.0172283987955,23.09548118639,25.3335202617222,27.5628869501931,27.5628869501931,27.5628869501931
51,"ARM","Armenia",57.0444567553336,57.0444567553336,57.0444567553336,57.0444567553336,57.0444567553336,57.0444567553336,57.0444567553336,57.0444567553336,57.0444567553336,57.0444567553336,57.0444567553336,57.0302267016358,58.8635000594279,64.6115064961547,61.8329960424795,60.6813220969325,59.9082848375012,57.5232590650827,58.6677478689458,61.6677738778363,65.4684729123365,70.2214098056933,79.1687027124293,82.4155746934787,82.4155746934787,82.4155746934787
533,"ABW","Aruba",13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,13.8553118959381,22.6245572473971,100,100,100,100,100,100,100,100,100,100,100,100,100
36,"AUS","Australia",26.9097081329853,26.9097081329853,26.9097081329853,26.9097081329853,26.9097081329853,26.9097081329853,26.9097081329853,26.9097081329853,26.9097081329853,26.9097081329853,26.9097081329853,27.2554705897055,26.6093119535901,28.4608975827111,27.5565936473052,26.3603050647596,27.0292296507537,29.7812948709905,29.0848581354237,28.1499647194786,28.4924568445177,25.2639973890791,24.4001007726815,24.4780709978414,24.4780709978414,24.4780709978414
40,"AUT","Austria",34.3682497760949,34.3682497760949,34.3682497760949,34.3682497760949,34.3682497760949,34.3682497760949,34.3682497760949,34.3682497760949,34.3682497760949,34.3682497760949,34.3682497760949,33.3657535795949,30.242185245749,28.6879221087886,28.5360122679322,29.1239906385378,28.4697962321362,31.1020847388728,34.1922559333299,35.3396758777894,37.2205314384659,37.4253103364275,35.8293335696041,32.4539633573451,32.4539633573451,32.4539633573451
