"code","iso","country","TBN.ind.1995","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020"
4,"AFG","Afghanistan",0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.0684188685553988,0.613934977764912,0.613934977764912,0.613934977764912,0.613934977764912,0.613934977764912,0.613934977764912,0.613934977764912,0.613934977764912,0.613934977764912,0.613934977764912,0.613934977764912
8,"ALB","Albania",5.8332700782555,7.75877377767559,20.1822133461431,20.9185984833649,20.9185984833649,31.5619393188459,31.5619393188459,31.5619393188459,31.6541643053649,32.9675395650751,36.9829329826513,46.8830454203304,57.7699738789972,65.5709727546318,79.5226219057388,79.5226219057388,81.1354237884494,83.7025220486335,89.0441073165759,91.2458224648053,91.2458224648053,91.2458224648053,91.2458224648053,91.2458224648053,100,100
12,"DZA","Algeria",37.1198622403078,37.1198622403078,37.1198622403078,37.1198622403078,37.1198622403078,37.1667632823816,37.1667632823816,41.7346985642527,41.7346985642527,42.7796804384049,43.1278292308277,43.1278292308277,43.1278292308277,43.1278292308277,43.1278292308277,43.1803338035356,43.1803338035356,43.2033334369425,43.2033334369425,43.2033334369425,43.2033334369425,43.2033334369425,43.2033334369425,43.2033334369425,43.2033334369425,43.2033334369425
20,"AND","Andorra",13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,13.6631449916824,87.3048824243323,87.3048824243323,87.3048824243323,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031,34.1073129114031
660,"AIA","Anguilla",2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.61164324957451,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406,2.66599375434406
28,"ATG","Antigua and Barbuda",31.4386240836922,31.4386240836922,31.4386240836922,31.4386240836922,31.4386240836922,31.4386240836922,31.4386240836922,31.4386240836922,31.4386240836922,31.4386240836922,31.4386240836922,88.9610648607012,88.9610648607012,88.9610648607012,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159,90.2655798877159
32,"ARG","Argentina",27.2148754457658,27.7711273342746,28.2648993869922,29.5744307219344,29.7368516490372,31.9289559737499,33.7097182744472,34.9237015733036,35.3317210968938,36.8804020463775,38.3183472461498,39.117853383674,39.6030230415128,39.6309685988739,39.8484130956229,39.9469353111773,39.9944790077233,40.0215646513882,40.1841412721001,40.2412318845919,40.5252109898616,41.2487778767043,41.253284221488,41.4582242524432,41.6811900382919,41.6811900382919
51,"ARM","Armenia",99.9332769589535,99.9332769589535,99.9332769589535,99.9332769589535,99.9332769589535,99.9332769589535,99.9332769589535,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882,99.9959379592882
533,"ABW","Aruba",2.03529279045422,2.03529279045422,2.03529279045422,2.03529279045422,2.03529279045422,2.03529279045422,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676,58.9648621200676
36,"AUS","Australia",33.1387241054435,33.3417920087107,33.9538832846451,34.2042302403454,34.5804844594747,35.8358278153612,38.701644529816,38.9593621774712,47.9066442857089,48.7005948054165,49.4231479610464,50.5327360199741,51.8509523353962,57.0180126216542,58.2706784486884,62.2709552622518,64.2082121581712,69.0997825164071,74.9779909024653,79.8338634686788,81.6409292405365,83.78637649033,87.9279291594447,88.6533036477971,89.0005656168959,89.0005656168959
40,"AUT","Austria",84.3523847808147,85.2928299882035,89.2551468032471,90.7917037886994,96.66929949972,98.03649106428,98.47558658711,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
