"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020"
112,"BLR","Belarus",55.3608,55.3608,55.3608,55.3608,55.3608,55.3608,55.3608,55.3608,55.3608,55.3608,55.3608,55.3745,55.3882,55.4019,55.4156,55.4293,55.36722,55.30514,55.24306,55.18098,55.1189,55.1189,55.1189,55.1189,55.1189,55.1189
56,"BEL","Belgium",44.4041,44.4041,44.4041,44.4041,44.4041,44.4041,44.4041,44.4041,44.4041,44.4041,44.4041,44.39056,44.37702,44.36348,44.34994,44.3364,44.23326,44.13012,44.02698,43.92384,43.8207,43.8207,43.8207,43.8207,43.8207,43.8207
84,"BLZ","Belize",59.713,59.713,59.713,59.713,59.713,59.713,59.713,59.713,59.713,59.713,59.713,59.44892,59.18484,58.92076,58.65668,58.3926,58.14502,57.89744,57.64986,57.40228,57.1547,57.1547,57.1547,57.1547,57.1547,57.1547
204,"BEN","Benin",50.0231,50.0231,50.0231,50.0231,50.0231,50.0231,50.0231,50.0231,50.0231,50.0231,50.0231,50.05902,50.09494,50.13086,50.16678,50.2027,50.2027,50.2027,50.2027,50.2027,50.2027,50.2027,50.2027,50.2027,50.2027,50.2027
60,"BMU","Bermuda",29.3519,29.3519,29.3519,29.3519,29.3519,29.3519,29.3519,29.3519,29.3519,29.3519,29.3519,29.33636,29.32082,29.30528,29.28974,29.2742,29.1876,29.101,29.0144,28.9278,28.8412,28.8412,28.8412,28.8412,28.8412,28.8412
64,"BTN","Bhutan",52.0246,52.0246,52.0246,52.0246,52.0246,52.0246,52.0246,52.0246,52.0246,52.0246,52.0246,52.01326,52.00192,51.99058,51.97924,51.9679,52.03964,52.11138,52.18312,52.25486,52.3266,52.3266,52.3266,52.3266,52.3266,52.3266
68,"BOL","Bolivia",66.2773,66.2773,66.2773,66.2773,66.2773,66.2773,66.2773,66.2773,66.2773,66.2773,66.2773,66.24942,66.22154,66.19366,66.16578,66.1379,66.06428,65.99066,65.91704,65.84342,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698
70,"BIH","Bosnia and Herzegovina",48.9359,48.9359,48.9359,48.9359,48.9359,48.9359,48.9359,48.9359,48.9359,48.9359,48.9359,49.0528,49.1697,49.2866,49.4035,49.5204,49.41962,49.31884,49.21806,49.11728,49.0165,49.0165,49.0165,49.0165,49.0165,49.0165
72,"BWA","Botswana",73.1765,73.1765,73.1765,73.1765,73.1765,73.1765,73.1765,73.1765,73.1765,73.1765,73.1765,73.04384,72.91118,72.77852,72.64586,72.5132,72.5132,72.5132,72.5132,72.5132,72.5132,72.5132,72.5132,72.5132,72.5132,72.5132
76,"BRA","Brazil",63.6185,63.6185,63.6185,63.6185,63.6185,63.6185,63.6185,63.6185,63.6185,63.6185,63.6185,63.5755,63.5325,63.4895,63.4465,63.4035,63.34416,63.28482,63.22548,63.16614,63.1068,63.1068,63.1068,63.1068,63.1068,63.1068
