"code","iso","country","PAR.ind.1995","PAR.ind.1996","PAR.ind.1997","PAR.ind.1998","PAR.ind.1999","PAR.ind.2000","PAR.ind.2001","PAR.ind.2002","PAR.ind.2003","PAR.ind.2004","PAR.ind.2005","PAR.ind.2006","PAR.ind.2007","PAR.ind.2008","PAR.ind.2009","PAR.ind.2010","PAR.ind.2011","PAR.ind.2012","PAR.ind.2013","PAR.ind.2014","PAR.ind.2015","PAR.ind.2016","PAR.ind.2017","PAR.ind.2018","PAR.ind.2019","PAR.ind.2020"
4,"AFG","Afghanistan",2.25718797332468,2.25718797332468,2.25718797332468,2.25718797332468,2.25718797332468,2.25718797332468,2.43233488853769,2.60748180375075,2.78262871896376,2.95777563417681,3.13292254938982,3.37078351399834,3.60864447860683,3.84650544321535,4.08436640782384,4.32222737243236,4.32222737243236,4.87086196024951,4.87086196024951,5.02314910097017,5.02314910097017,5.01628878242469,5.01628878242469,5.01628878242469,5.01628878242469,5.01628878242469
8,"ALB","Albania",20.7053958493283,20.7053958493283,20.7053958493283,20.7053958493283,20.7053958493283,20.7053958493283,21.8377779249267,22.970160000525,24.1025420761234,25.2349241517217,26.3673062273201,27.999632525546,29.6319588237715,31.2642851219975,32.896611420223,34.528937718449,34.528937718449,35.6851698406078,35.6851698406078,38.2959088042941,38.2959088042941,38.6432198875267,38.6432198875267,38.6432198875267,38.6432198875267,38.6432198875267
12,"DZA","Algeria",2.55189532704928,2.55189532704928,2.55189532704928,2.55189532704928,2.55189532704928,2.55189532704928,2.82728163755208,3.10266794805485,3.37805425855765,3.65344056906042,3.92882687956322,3.95355504689774,3.97828321423225,4.00301138156673,4.02773954890124,4.05246771623576,4.05246771623576,7.03329402072531,7.03329402072531,7.07115104810754,7.07115104810754,7.07394289948082,7.07394289948082,7.07394289948082,7.07394289948082,7.07394289948082
20,"AND","Andorra",79.2824345421214,79.2824345421214,79.2824345421214,79.2824345421214,79.2824345421214,79.2824345421214,80.8097204151744,82.3370062882275,83.8642921612806,85.3915780343337,86.9188639073868,89.3786042771399,91.8383446468934,94.2980850166466,96.7578253864001,99.2175657561533,99.2175657561533,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",24.7554177128652,24.7554177128652,24.7554177128652,24.7554177128652,24.7554177128652,24.7554177128652,24.8899634732779,25.0245092336905,25.1590549941031,25.2936007545157,25.4281465149284,26.107100906934,26.78605529894,27.4650096909456,28.1439640829516,28.8229184749573,28.8229184749573,29.6606170588086,29.6606170588086,29.7756317905968,29.7756317905968,29.8368377630112,29.8368377630112,29.8368377630112,29.8368377630112,29.8368377630112
660,"AIA","Anguilla",21.6878531199834,21.6878531199834,21.6878531199834,21.6878531199834,21.6878531199834,21.6878531199834,22.4539896331638,23.2201261463443,23.9862626595247,24.7523991727051,25.5185356858856,27.4481583624002,29.3777810389148,31.3074037154291,33.2370263919437,35.1666490684583,35.1666490684583,35.6055901454805,35.6055901454805,35.6601147641809,35.6601147641809,35.6605920037321,35.6605920037321,35.6605920037321,35.6605920037321,35.6605920037321
28,"ATG","Antigua and Barbuda",32.9303045325231,32.9303045325231,32.9303045325231,32.9303045325231,32.9303045325231,32.9303045325231,34.1318982740038,35.333492015484,36.5350857569647,37.736679498445,38.9382732399256,41.7948144343487,44.6513556287722,47.5078968231953,50.3644380176187,53.2209792120418,53.2209792120418,53.6897477610007,53.6897477610007,53.7515502828539,53.7515502828539,53.7520275224048,53.7520275224048,53.7520275224048,53.7520275224048,53.7520275224048
32,"ARG","Argentina",7.62238659147759,7.62238659147759,7.62238659147759,7.62238659147759,7.62238659147759,7.62238659147759,8.18856211899135,8.75473764650509,9.32091317401885,9.88708870153258,10.4532642290464,11.4284268931645,12.4035895572828,13.378752221401,14.3539148855192,15.3290775496374,15.3290775496374,15.919053013559,15.919053013559,16.1649387612173,16.1649387612173,16.1654637247235,16.1654637247235,16.1654637247235,16.1654637247235,16.1654637247235
51,"ARM","Armenia",12.7200685793235,12.7200685793235,12.7200685793235,12.7200685793235,12.7200685793235,12.7200685793235,13.0957968916195,13.4715252039155,13.8472535162115,14.2229818285075,14.5987101408035,15.2755789959715,15.9524478511394,16.6293167063074,17.3061855614753,17.9830544166433,17.9830544166433,18.6534328139177,18.6534328139177,18.9487844410362,18.9487844410362,18.9861522978786,18.9861522978786,18.9861522978786,18.9861522978786,18.9861522978786
533,"ABW","Aruba",10.5794463663279,10.5794463663279,10.5794463663279,10.5794463663279,10.5794463663279,10.5794463663279,10.8541502242728,11.1288540822176,11.4035579401625,11.6782617981074,11.9529656560523,12.6016415847455,13.2503175134388,13.898993442132,14.5476693708253,15.1963452995185,15.1963452995185,15.6443181350433,15.6443181350433,15.6931993960534,15.6931993960534,15.693640842638,15.693640842638,15.693640842638,15.693640842638,15.693640842638
36,"AUS","Australia",10.5062020262398,10.5062020262398,10.5062020262398,10.5062020262398,10.5062020262398,10.5062020262398,12.3552189425923,14.2042358589447,16.0532527752971,17.9022696916495,19.751286608002,20.7084310928726,21.6655755777432,22.6227200626138,23.5798645474845,24.5370090323551,24.5370090323551,32.2949793802688,32.2949793802688,40.4109151843903,40.4109151843903,40.4117503536048,40.4117503536048,40.4117503536048,40.4117503536048,40.4117503536048
