,country,year,DMT
155,Norway,1997,-24.6278607593983
156,Oman,1997,-21.6437844588257
157,Pakistan,1997,-22.500553514423
158,Palau,1997,-23.8163246865284
159,Panama,1997,-22.7754097464872
160,Papua New Guinea,1997,-19.4801134841328
161,Paraguay,1997,-21.3263332148503
162,Peru,1997,-22.9049290395286
163,Philippines,1997,-22.6253049535699
164,Pitcairn,1997,
165,Poland,1997,-23.1578255216318
166,Portugal,1997,-23.7625764084717
167,Puerto Rico,1997,
168,Qatar,1997,
169,Republic of Congo,1997,-22.7461676338998
170,Reunion,1997,
171,Romania,1997,-22.7587042736062
172,Russia,1997,-22.0896177030089
173,Rwanda,1997,-21.3463679663146
174,Saint Helena,1997,
175,Saint Kitts and Nevis,1997,-23.3253820937957
176,Saint Lucia,1997,-21.482142435099
177,Saint Pierre and Miquelon,1997,
178,Saint Vincent and the Grenadines,1997,-23.2305131487919
179,Samoa,1997,-21.9785391904146
180,San Marino,1997,
181,Sao Tome and Principe,1997,
182,Saudi Arabia,1997,-24.089381948672
183,Senegal,1997,-21.5179476167894
184,Serbia,1997,-22.4684561188412
185,Seychelles,1997,-23.9359988084868
186,Sierra Leone,1997,-21.0612261535292
187,Singapore,1997,-25.8299712412461
188,Sint Maarten,1997,
189,Slovakia,1997,-23.5636543958749
190,Slovenia,1997,-23.6692511635864
191,Solomon Islands,1997,-22.0249119274052
192,Somalia,1997,-17.7219777034904
193,South Africa,1997,-22.9841886487251
194,South Korea,1997,-24.3248295398534
195,South Sudan,1997,
196,Spain,1997,-24.1883648793565
197,Sri Lanka,1997,-22.4165702089495
198,State of Palestine,1997,
199,Sudan,1997,-20.409378148266
200,Suriname,1997,-22.2851218846984
201,Svalbard and Jan Mayen Islands,1997,
202,Swaziland,1997,-22.3419298252938
203,Sweden,1997,-24.4359807048012
204,Switzerland,1997,-24.9864551360528
205,Syria,1997,-21.2227820854513
206,Taiwan,1997,-23.7618190694853
207,Tajikistan,1997,-21.5984184519288
208,Tanzania,1997,-20.9240203769325
209,Thailand,1997,-23.0222438595678
210,Timor-Leste,1997,
211,Togo,1997,-21.9512526035248
212,Tokelau,1997,
213,Tonga,1997,-22.1031766501998
214,Trinidad and Tobago,1997,-24.0823318068731
215,Tunisia,1997,-23.5274684370795
216,Turkey,1997,-23.5242065671933
217,Turkmenistan,1997,-20.5385249268463
218,Turks and Caicos Islands,1997,
219,Tuvalu,1997,-21.6971307043658
220,Uganda,1997,-21.6624372476139
221,Ukraine,1997,-21.612705971202
222,United Arab Emirates,1997,-23.4658835761643
223,United Kingdom,1997,-23.7153552786551
224,United States of America,1997,-23.5907183052094
225,United States Virgin Islands,1997,
