,country,year,GPD
184,Serbia,1997,61891221464.1563
185,Seychelles,1997,1335461110.02699
186,Sierra Leone,1997,3915151060.96964
187,Singapore,1997,184115799738.739
188,Sint Maarten,1997,
189,Slovakia,1997,80045980799.3515
190,Slovenia,1997,39906707659.8815
191,Solomon Islands,1997,821684949.120169
192,Somalia,1997,
193,South Africa,1997,406858468963.814
194,South Korea,1997,858743906646.25
195,South Sudan,1997,
196,Spain,1997,1059453002569.95
197,Sri Lanka,1997,89922234371.1768
198,State of Palestine,1997,9178728423.96431
199,Sudan,1997,67879729978.1642
200,Suriname,1997,4594740350.581
201,Svalbard and Jan Mayen Islands,1997,
202,Swaziland,1997,5926112278.87525
203,Sweden,1997,286554844858.768
204,Switzerland,1997,332337499603.063
205,Syria,1997,
206,Taiwan,1997,512710000000.0
207,Tajikistan,1997,6201880974.35865
208,Tanzania,1997,43121940270.3179
209,Thailand,1997,573425064843.98
210,Timor-Leste,1997,
211,Togo,1997,6389258014.63462
212,Tokelau,1997,
213,Tonga,1997,409193168.805514
214,Trinidad and Tobago,1997,18495722246.2221
215,Tunisia,1997,63131455620.3884
216,Turkey,1997,800223647699.054
217,Turkmenistan,1997,18302267308.4614
218,Turks and Caicos Islands,1997,
219,Tuvalu,1997,25634077.9572211
220,Uganda,1997,21899098686.2347
221,Ukraine,1997,227541435812.515
222,United Arab Emirates,1997,285826009787.23
223,United Kingdom,1997,1755614682070.6
224,United States of America,1997,11400235991240.1
225,United States Virgin Islands,1997,
226,Uruguay,1997,42541575183.0064
227,Uzbekistan,1997,54655376594.4177
228,Vanuatu,1997,471291296.642901
229,Venezuela,1997,360954162379.544
230,Viet Nam,1997,173829422209.232
231,Wallis and Futuna Islands,1997,
232,Western Sahara,1997,
233,Yemen,1997,59584971678.2798
234,Zambia,1997,20447897511.2511
235,Zimbabwe,1997,31860223106.5213
236,Afghanistan,1998,
237,Albania,1998,13956661343.9337
238,Algeria,1998,297182353497.983
239,American Samoa,1998,
240,Andorra,1998,
241,Angola,1998,54245354799.5022
242,Anguilla,1998,
243,Antigua and Barbuda,1998,1371531251.06693
244,Argentina,1998,576044056175.667
245,Armenia,1998,8206768207.22595
246,Aruba,1998,
247,Australia,1998,618906474696.507
248,Austria,1998,290387822157.043
249,Azerbaijan,1998,30077332946.4722
250,Bahamas,1998,6899825606.88833
251,Bahrain,1998,27196596305.8658
252,Bangladesh,1998,196034560632.586
253,Barbados,1998,3718334903.38122
254,Belarus,1998,66759058522.4725
255,Belgium,1998,355825368783.421
256,Belize,1998,1400643225.67656
257,Benin,1998,10260449609.263
258,Bermuda,1998,2797995910.35374
259,Bhutan,1998,1757322379.29636
260,Bolivia,1998,35743858654.2112
261,Bosnia and Herzegovina,1998,20611764131.7866
262,Botswana,1998,16087350634.3742
263,Brazil,1998,1905478161533.41
264,British Virgin Islands,1998,
265,Brunei Darussalam,1998,25797395100.3918
266,Bulgaria,1998,73839035783.6031
267,Burkina Faso,1998,11414797132.7147
268,Burundi,1998,4918137902.2932
269,Cambodia,1998,13737321724.289
270,Cameroon,1998,35319322454.5225
271,Canada,1998,1041255284378.71
272,Cape Verde,1998,1312739469.24617
273,Cayman Islands,1998,
274,Central African Republic,1998,3045643621.88467
275,Chad,1998,8416695541.06809
276,Chile,1998,217795164038.794
277,China,1998,4000276166465.71
278,Colombia,1998,335583877090.772
279,Comoros,1998,710904109.096025
280,Cook Islands,1998,
281,Costa Rica,1998,35962535840.119
282,Cote d'Ivoire,1998,49424795773.5775
283,Croatia,1998,67792611081.3869
284,Cuba,1998,111587052834.846
285,Curacao,1998,
286,Cyprus,1998,18840052901.2484
287,Czech Republic,1998,204891817492.446
288,Dem. Rep. Congo,1998,27956444126.23
289,Denmark,1998,211662714245.895
290,Djibouti,1998,1490541946.32815
291,Dominica,1998,563608824.723744
292,Dominican Republic,1998,60478138053.8558
293,Ecuador,1998,96879092627.3289
294,Egypt,1998,461879672095.042
295,El Salvador,1998,35334788843.2664
296,Equatorial Guinea,1998,4463229020.45053
297,Eritrea,1998,6526818083.0
298,Estonia,1998,20011563798.2483
299,Ethiopia,1998,36877277672.0082
300,Faeroe Islands,1998,
301,Falkland Islands,1998,
302,Fiji,1998,5062139582.34125
303,Finland,1998,163676522988.61
304,France,1998,1978904437812.86
305,French Guiana,1998,
306,French Polynesia,1998,
307,Gabon,1998,24501172141.7596
308,Gambia,1998,1712422569.42889
309,Georgia,1998,13782937476.5739
310,Germany,1998,2878322607197.76
311,Ghana,1998,39518423483.5185
312,Gibraltar,1998,
313,Greece,1998,250582815172.056
314,Greenland,1998,
315,Grenada,1998,874644820.700364
316,Guadeloupe,1998,
317,Guam,1998,
318,Guatemala,1998,65735836935.5359
319,Guinea,1998,9360920918.50187
320,Guinea-Bissau,1998,1587818047.57211
321,Guyana,1998,3347466036.47354
322,Haiti,1998,14353143350.7247
323,Holy See,1998,
324,Honduras,1998,20931224139.5832
325,Hong Kong,1998,205434192090.526
326,Hungary,1998,169531334484.118
327,Iceland,1998,8806996539.96345
328,India,1998,2350057173294.91
329,Indonesia,1998,1161382408238.17
330,Iran,1998,726088315227.816
331,Iraq,1998,240658518378.157
332,Ireland,1998,127457479108.334
333,Isle of Man,1998,
334,Israel,1998,145187438144.69
335,Italy,1998,1975191677994.28
336,Jamaica,1998,20673398665.8358
337,Japan,1998,4190775146113.3
338,Jordan,1998,34243585114.3707
339,Kazakhstan,1998,131349160362.013
340,Kenya,1998,65153342907.9358
341,Kiribati,1998,161939714.927912
342,Kosovo,1998,
343,Kuwait,1998,139453374098.592
344,Kyrgyzstan,1998,9298753247.03043
345,Laos,1998,11014709565.0845
346,Latvia,1998,24422674621.2645
347,Lebanon,1998,40201675641.671
348,Lesotho,1998,3160261914.08037
349,Liberia,1998,1545064852.80777
350,Libya,1998,112718000000.0
351,Liechtenstein,1998,
352,Lithuania,1998,41553934942.7621
353,Luxembourg,1998,29139657276.6925
354,Macao,1998,15608294103.4888
355,Macedonia,1998,16080380323.7762
356,Madagascar,1998,20765717794.95
357,Malawi,1998,9412084891.61739
358,Malaysia,1998,327294707003.84
359,Maldives,1998,1632359561.0
360,Mali,1998,15188717115.3797
361,Malta,1998,8592580495.29065
362,Marshall Islands,1998,144922269.979068
363,Martinique,1998,
364,Mauritania,1998,6950043890.03697
365,Mauritius,1998,11751861965.7836
366,Mayotte,1998,
367,Mexico,1998,1412830109583.06
368,Micronesia,1998,320973930.002743
369,Moldova,1998,8561594535.56116
370,Monaco,1998,
371,Mongolia,1998,10704983583.6658
372,Montenegro,1998,6525103551.66576
373,Montserrat,1998,
374,Morocco,1998,126937589324.983
375,Mozambique,1998,9255482621.54994
376,Myanmar,1998,47720458236.5633
377,Namibia,1998,10840497029.744
378,Nauru,1998,
379,Nepal,1998,32965634594.0893
380,Netherlands,1998,606768544316.393
381,Netherlands Antilles,1998,
382,New Caledonia,1998,
383,New Zealand,1998,100619629471.21
384,Nicaragua,1998,15676553084.609
385,Niger,1998,8722756663.75422
386,Nigeria,1998,329318656121.044
387,Niue,1998,
388,Norfolk Island,1998,
389,North Korea,1998,
390,Northern Mariana Islands,1998,
391,Norway,1998,247689375710.201
392,Oman,1998,94722702867.3695
393,Pakistan,1998,447949579620.862
394,Palau,1998,279907432.824071
395,Panama,1998,30012968400.4904
396,Papua New Guinea,1998,10050293386.0913
397,Paraguay,1998,33487654195.2671
398,Peru,1998,163184315068.281
399,Philippines,1998,306093090990.744
400,Pitcairn,1998,
401,Poland,1998,515150866723.254
402,Portugal,1998,248121616253.189
403,Puerto Rico,1998,119469630932.662
404,Qatar,1998,57638275464.0
405,Republic of Congo,1998,13790068069.6167
406,Reunion,1998,
407,Romania,1998,231582285447.058
408,Russia,1998,1759916634201.07
409,Rwanda,1998,5504086862.07436
410,Saint Helena,1998,
411,Saint Kitts and Nevis,1998,799808200.434859
412,Saint Lucia,1998,1457978287.53998
413,Saint Pierre and Miquelon,1998,
414,Saint Vincent and the Grenadines,1998,780830158.079966
415,Samoa,1998,691346188.987416
416,San Marino,1998,
417,Sao Tome and Principe,1998,268834123.7
418,Saudi Arabia,1998,726414258382.931
419,Senegal,1998,17179538230.2989
420,Serbia,1998,63395460760.4458
421,Seychelles,1998,1447685229.25311
422,Sierra Leone,1998,3985037066.5423
423,Singapore,1998,180018800202.006
424,Sint Maarten,1998,
425,Slovakia,1998,83257276426.6318
426,Slovenia,1998,41217895026.271
427,Solomon Islands,1998,836342710.851784
428,Somalia,1998,
429,South Africa,1998,408892761298.368
430,South Korea,1998,809676158022.456
431,South Sudan,1998,
432,Spain,1998,1105072820516.39
433,Sri Lanka,1998,94147161354.5595
434,State of Palestine,1998,11560387404.6056
435,Sudan,1998,70804330929.8085
436,Suriname,1998,4666611336.94644
437,Svalbard and Jan Mayen Islands,1998,
438,Swaziland,1998,6080430572.50854
439,Sweden,1998,298666921237.675
440,Switzerland,1998,342124082784.166
441,Syria,1998,
442,Taiwan,1998,534299000000.0
443,Tajikistan,1998,6530580713.61541
444,Tanzania,1998,44721122425.64
445,Thailand,1998,529651322818.871
446,Timor-Leste,1998,
447,Togo,1998,6242312966.80963
448,Tokelau,1998,
449,Tonga,1998,420318364.461197
450,Trinidad and Tobago,1998,19996811411.8242
451,Tunisia,1998,66151514565.4559
452,Turkey,1998,818694517877.073
453,Turkmenistan,1998,19601728350.2973
454,Turks and Caicos Islands,1998,
455,Tuvalu,1998,29607672.7701681
456,Uganda,1998,22973307615.3775
457,Ukraine,1998,223218148567.824
458,United Arab Emirates,1998,286660605569.141
459,United Kingdom,1998,1811632473192.07
460,United States of America,1998,11907536342454.5
461,United States Virgin Islands,1998,
462,Uruguay,1998,44463982200.4932
463,Uzbekistan,1998,57005557787.9777
464,Vanuatu,1998,491563731.62887
465,Venezuela,1998,362015566721.131
466,Viet Nam,1998,183849741835.726
467,Wallis and Futuna Islands,1998,
468,Western Sahara,1998,
469,Yemen,1998,63164058953.7271
470,Zambia,1998,20369020518.4869
471,Zimbabwe,1998,32779458060.4679
472,Afghanistan,1999,
473,Albania,1999,15840974389.425
474,Algeria,1999,306692193424.73
475,American Samoa,1999,
476,Andorra,1999,
477,Angola,1999,56002795625.6121
478,Anguilla,1999,
479,Antigua and Barbuda,1999,1428060345.57257
480,Argentina,1999,556542332118.722
481,Armenia,1999,8477591558.06441
482,Aruba,1999,
483,Australia,1999,649895718226.32
484,Austria,1999,300812709402.453
485,Azerbaijan,1999,32303055759.463
486,Bahamas,1999,7392758113.34085
487,Bahrain,1999,28366049664.2761
488,Bangladesh,1999,205189681149.996
489,Barbados,1999,3730451836.21048
490,Belarus,1999,69028866512.2365
491,Belgium,1999,368503759737.252
492,Belize,1999,1523624903.64829
493,Benin,1999,10808506330.4841
494,Bermuda,1999,2892642283.03342
495,Bhutan,1999,1897626506.3928
496,Bolivia,1999,35896443976.2768
497,Bosnia and Herzegovina,1999,22590493446.2018
498,Botswana,1999,17642553549.1303
499,Brazil,1999,1914416122921.14
500,British Virgin Islands,1999,
501,Brunei Darussalam,1999,26584772020.3639
502,Bulgaria,1999,69696665893.4968
503,Burkina Faso,1999,12251759843.4769
504,Burundi,1999,4868464709.66697
505,Cambodia,1999,15373403487.2204
506,Cameroon,1999,36754091816.2206
507,Canada,1999,1095017490719.34
508,Cape Verde,1999,1460063606.02264
509,Cayman Islands,1999,
510,Central African Republic,1999,3155286027.94762
511,Chad,1999,8359222117.27662
512,Chile,1999,216138059053.707
513,China,1999,4306996788325.95
514,Colombia,1999,321475879742.457
515,Comoros,1999,724582783.3049
516,Cook Islands,1999,
517,Costa Rica,1999,37380665894.702
518,Cote d'Ivoire,1999,50224255408.9174
519,Croatia,1999,67158411210.0948
520,Cuba,1999,118492902488.921
521,Curacao,1999,
522,Cyprus,1999,19749753967.4737
523,Czech Republic,1999,207838264733.668
524,Dem. Rep. Congo,1999,26762664590.6628
525,Denmark,1999,217902546087.925
526,Djibouti,1999,1523020947.42837
527,Dominica,1999,567459934.526296
528,Dominican Republic,1999,64539459171.9129
529,Ecuador,1999,92287618677.0392
530,Egypt,1999,490079552567.95
531,El Salvador,1999,36553520492.4174
532,Equatorial Guinea,1999,5608672805.47491
533,Eritrea,1999,6655540946.0
534,Estonia,1999,19840175370.8315
535,Ethiopia,1999,38780936521.4459
536,Faeroe Islands,1999,
537,Falkland Islands,1999,
538,Fiji,1999,5507607798.36298
539,Finland,1999,170950527443.851
540,France,1999,2046327674070.07
541,French Guiana,1999,
542,French Polynesia,1999,
543,Gabon,1999,22312574852.1937
544,Gambia,1999,1822017602.16446
545,Georgia,1999,14178405300.6579
546,Germany,1999,2935518761678.6
547,Ghana,1999,41257232875.8817
548,Gibraltar,1999,
549,Greece,1999,258282214391.333
550,Greenland,1999,
551,Grenada,1999,962743408.257298
552,Guadeloupe,1999,
553,Guam,1999,
554,Guatemala,1999,68264735444.3464
555,Guinea,1999,9717759601.58452
556,Guinea-Bissau,1999,1604101715.63035
557,Guyana,1999,3446881793.53066
558,Haiti,1999,14742148990.6816
559,Holy See,1999,
560,Honduras,1999,20535721355.8931
561,Hong Kong,1999,210584018964.061
562,Hungary,1999,174964727618.854
563,Iceland,1999,9159613178.3321
564,India,1999,2557937486394.1
565,Indonesia,1999,1170570407381.5
566,Iran,1999,740629658561.797
567,Iraq,1999,282971739254.619
568,Ireland,1999,141303150541.827
569,Isle of Man,1999,
570,Israel,1999,150613219848.032
571,Italy,1999,2006001723062.22
572,Jamaica,1999,20889988461.8513
573,Japan,1999,4180215385593.35
574,Jordan,1999,35410783456.7357
575,Kazakhstan,1999,134895587688.953
576,Kenya,1999,66655380645.1952
577,Kiribati,1999,159448334.698252
578,Kosovo,1999,
579,Kuwait,1999,136958540039.193
