,country,year,population,GPD,DCT,DNT,DBT
52,Dem. Rep. Congo,1997,43830146.0,28417996160.316,-23.8777789658663,-21.0759228474646,-20.7330881635296
53,Denmark,1997,5284991.0,207069575833.124,-21.9019835476693,-24.1556137958909,-24.7616413578212
54,Djibouti,1997,660953.0,1489062137.72724,-22.2419757833958,-22.5298877286919,-21.8031444766238
55,Dominica,1997,70753.0,536882353.259234,-22.6194469258293,-23.9755550246106,-24.3444152826038
56,Dominican Republic,1997,8163472.0,56516026765.2304,-22.0749893275879,-23.849943067315,-23.0683532041744
57,Ecuador,1997,11924993.0,93814610781.1521,-22.100000569512,-23.6780815336039,-23.5293394334398
58,Egypt,1997,66151117.0,443959823974.579,-22.1673222638784,-24.2096263612624,-24.0405114838469
59,El Salvador,1997,5727755.0,34058045964.2737,-22.5687746295452,-23.8357005483018,-22.9517843162501
60,Equatorial Guinea,1997,544636.0,3605936325.79047,-21.4368267368305,-26.1992445843163,-22.8369233197815
61,Eritrea,1997,3583000.0,6049391563.0,-22.6645852199959,-21.3420645332872,-21.8350895577571
62,Estonia,1997,1399535.0,19220214254.9944,-20.8630707274755,-22.9100232600102,-23.2184910120122
63,Ethiopia,1997,60976450.0,38198225460.6532,-23.2270277372452,-21.0664531454301,-20.8371602416407
64,Faeroe Islands,1997,46251.0,27131209032.18901,-23.005165592671,-21.785285400309,-21.68702114975393
65,Falkland Islands,1997,419555.5,16064192603.72482,-22.7833034480968,-22.5041176551879,-22.53688205786717
66,Fiji,1997,792860.0,4997176175.26063,-22.5614413035226,-23.2229499100668,-23.3867429659804
67,Finland,1997,5139835.0,155248821218.703,-21.6639889828143,-23.3216493599313,-23.5226722042975
68,France,1997,59964845.0,1910947305793.69,-22.3903624960362,-24.1579796498152,-24.1810938359501
69,French Guiana,1997,30094288.0,1281857437562.534,-22.3634142408628,-24.15588365873413,-23.88059890704103
70,French Polynesia,1997,223731.0,652767569331.3779,-22.3364659856894,-24.15378766765307,-23.58010397813197
71,Gabon,1997,1142324.0,23677701100.2219,-22.309517730516,-24.151691676572,-23.2796090492229
72,Gambia,1997,1128169.0,1654514583.60982,-22.8469892854049,-22.2459123421766,-21.9141124594328
73,Georgia,1997,4531600.0,13367877781.5643,-21.6070240429592,-22.8292958209226,-22.7666673188559
74,Germany,1997,82034771.0,2822448889452.94,-21.8959753948856,-24.5154682872519,-24.9661641647258
75,Ghana,1997,17608812.0,37744294161.2169,-22.8620089715873,-22.9027025877201,-21.9644217627753
76,Gibraltar,1997,30594.0,139466518729.9319,-22.31488327193025,-23.5662314800291,-23.09909392526725
77,Greece,1997,10661259.0,241188743298.647,-21.7677575722732,-24.2297603723381,-24.2337660877592
78,Greenland,1997,56000.0,121004841507.541,-22.03713812283875,-24.8876446441382,-24.19104149053065
79,Grenada,1997,101122.0,820939716.434956,-22.3065186734043,-25.5455289159383,-24.1483168933021
80,Guadeloupe,1997,125712.5,21417099216.5768,-22.52682603033697,-24.92670017693387,-23.7327600551949
81,Guam,1997,150303.0,42013258716.71865,-22.74713338726963,-24.30787143792943,-23.3172032170877
82,Guatemala,1997,10887634.0,62609418216.8605,-22.9674407442023,-23.689042698925,-22.9016463789805
83,Guinea,1997,8337988.0,9031791486.38744,-22.5747917165725,-21.8504355415697,-21.164669381728
84,Guinea-Bissau,1997,1179727.0,2208369401.83789,-23.1173868998627,-22.1707371872413,-22.1608449566899
85,Guyana,1997,760510.0,3405653919.85638,-21.4848581031266,-22.1360705267521,-22.9295859609476
86,Haiti,1997,8111951.0,14046667398.3392,-23.1266341082725,-23.0007523500318,-22.0502207996586
87,Holy See,1997,7070416.5,17193839845.90295,-22.72088687628645,-22.91663992216785,-22.20286848390695
88,Honduras,1997,6028882.0,20341012293.4667,-22.3151396443004,-22.8325274943039,-22.3555161681553
89,Hong Kong,1997,6489300.0,218274483377.467,-22.0415237619633,-23.34136072720835,-24.4157884977842
90,Hungary,1997,10290486.0,162668457844.177,-21.7679078796262,-23.8501939601128,-24.3531418389601
91,Iceland,1997,271128.0,8264269342.28442,-22.0644991187062,-24.1662229479916,-24.6244820133906
92,India,1997,997405318.0,2213184632726.04,-21.7097483790345,-23.1955580391203,-22.0333074977432
93,Indonesia,1997,202826465.0,1336869612456.39,-22.3633385922671,-23.2099020499102,-22.8006313929407
94,Iran,1997,62710557.0,711293330168.086,-21.6091918887875,-24.1934671989309,-24.3967601164125
95,Iraq,1997,21509291.0,178454472964.994,-21.1542988815239,-24.5835456500767,-23.9488917793532
96,Ireland,1997,3674171.0,117767669242.491,-21.9074083424003,-23.1801734400143,-24.4944829634905
97,Isle of Man,1997,70869.0,128516889083.3215,-21.80858804666585,-24.296950717211,-24.8334490306935
98,Israel,1997,5836000.0,139266108924.152,-21.7097677509314,-25.4137279944077,-25.1724150978965
99,Italy,1997,56890372.0,1943778790156.22,-22.2602618637339,-24.893847873705,-24.600987263895
100,Jamaica,1997,2586827.0,21167566847.7264,-21.550775189562,-24.343684026236,-23.6466327906113
101,Japan,1997,126057000.0,4238618826685.46,-22.0187603724175,-25.7691055146363,-24.710901736715
102,Jordan,1997,4832267.0,33247453625.3741,-21.5286054346366,-24.7241106225495,-24.272345873816
103,Kazakhstan,1997,15333703.0,133893129827.975,-20.7770678089397,-23.3926511809156,-23.838176210818
104,Kenya,1997,28954114.0,63077943746.5419,-22.9534947209098,-22.5516365200361,-21.7143681668956
105,Kiribati,1997,80184.0,151974194.009271,-22.5025109712571,-24.8510289605891,-23.678470801265
106,Kosovo,1997,2086000.0,67339449103.59413,-22.29305009002405,-26.04811465881875,-25.0157363271514
107,Kuwait,1997,1715314.0,134526924013.179,-22.083589208791,-27.2452003570484,-26.3530018530378
108,Kyrgyzstan,1997,4696400.0,9105548496.40211,-21.187115817376,-22.672047416608,-23.5468268761773
109,Laos,1997,5056519.0,10594366617.9294,-23.5808002894692,-22.2552847265985,-22.0824547687715
110,Latvia,1997,2432851.0,22927402338.5059,-21.7107308471417,-23.1185143536131,-23.0805497572892
111,Lebanon,1997,3092670.0,38807461960.0628,-21.5737806357399,-25.0212427772751,-24.8904825129894
112,Lesotho,1997,1810453.0,3110986534.6511,-21.2853206520037,-22.3082754210424,-21.7393975198612
113,Liberia,1997,2358469.0,1186611650.6628,-21.9496906708362,-22.6742012709252,-20.0861248977266
114,Libya,1997,5117269.0,113144000000.0,-21.7838135477376,-25.4507409233721,-24.2930599028943
115,Liechtenstein,1997,31838.0,75905314826.04236,-21.7648892503147,-24.16354958552515,-24.01424029629115
116,Lithuania,1997,3575137.0,38666629652.0847,-21.7459649528918,-22.8763582476782,-23.735420689688
117,Luxembourg,1997,419450.0,27327261984.2195,-21.9342680893014,-25.1409452648391,-24.0007428714553
118,Macao,1997,401564.0,16360895271.2866,-21.5996168433596,-24.3695741891463,-25.0399115684657
119,Macedonia,1997,1999599.0,15554823946.1765,-21.2649655974178,-23.5982031134535,-23.4271678130538
120,Madagascar,1997,14347854.0,19980035574.7513,-23.2179516400892,-21.5664604592076,-21.6598877970095
121,Malawi,1997,10381862.0,9059205846.73487,-22.9640930982661,-22.4124832662716,-21.3688227825022
122,Malaysia,1997,21565325.0,353295165775.594,-21.9501957893687,-24.4119217065883,-23.7337960793732
123,Maldives,1997,264000.0,1485861938.0,-22.9836912851147,-22.86969073431715,-22.80518702447305
124,Mali,1997,10114094.0,14119625965.2905,-24.0171867808607,-21.327459762046,-21.8765779695729
125,Malta,1997,382791.0,8173632553.35741,-21.9199611173378,-25.6861552142069,-23.9374700284842
126,Marshall Islands,1997,51692.0,149164834.804507,-21.5393906005696,-26.7264587106413,-23.2553770300572
127,Martinique,1997,1261645.0,3455683957.497448,-22.03144661473825,-24.2845205219261,-22.5732840316302
128,Mauritania,1997,2471598.0,6762203080.19039,-22.5235026289069,-21.8425823332109,-21.8911910332032
129,Mauritius,1997,1148284.0,11079280074.4863,-22.6459163916834,-24.4399960987308,-23.4735146804692
130,Mayotte,1997,49215011.5,680231735697.5132,-22.35942245555975,-24.3606871243999,-23.9481405231406
131,Mexico,1997,97281739.0,1349384191320.54,-22.0729285194361,-24.281378150069,-24.422766365812
132,Micronesia,1997,108502.0,311759193.319515,-21.7657440819947,-23.6568979717671,-27.7272915721941
133,Moldova,1997,3654208.0,9160919478.68311,-20.7004551403567,-22.7911728497171,-23.7308924310225
134,Monaco,1997,31251.0,9759959522.229805,-20.8081175035025,-21.8092620808261,-23.4809835560942
135,Mongolia,1997,2335695.0,10358999565.7765,-20.9157798666483,-20.8273513119351,-23.2310746811659
136,Montenegro,1997,609520.0,6220308261.00082,-21.3040148854416,-23.8714102912537,-20.9854021512749
137,Montserrat,1997,14217710.5,62294834518.8764,-21.6922499042349,-23.7281475041569,-22.46344415905975
138,Morocco,1997,27825901.0,118369360776.752,-22.0804849230282,-23.5848847170601,-23.9414861668446
139,Mozambique,1997,16701351.0,8274211304.1758,-22.5664433763476,-20.6895100870244,-20.3490370159317
140,Myanmar,1997,44371525.0,45076192691.994,-22.5442280257703,-21.8247597090004,-21.1590463909247
141,Namibia,1997,1758994.0,10495043687.5858,-22.3832001432831,-21.8935490593259,-23.4534803769958
142,Nauru,1997,10056.0,21247711114.62245,-22.88880039548325,-22.17772373576705,-22.4412568175868
143,Nepal,1997,22389803.0,32000378541.6591,-23.3944006476834,-22.4618984122082,-21.4290332581778
144,Netherlands,1997,15610650.0,580498574514.053,-21.9655889688871,-24.3197318079993,-24.7532530761374
145,Netherlands Antilles,1997,7906034.0,420336001885.1003,-21.97785216386987,-23.7495004199947,-24.49286502774273
146,New Caledonia,1997,201418.0,260173429256.1476,-21.99011535885263,-23.1792690319901,-24.23247697934807
147,New Zealand,1997,3781300.0,100010856627.195,-22.0023785538354,-22.6090376439855,-23.9720889309534
148,Nicaragua,1997,4786640.0,15115513378.827,-22.3248745645178,-22.7322453887055,-22.2589322708165
149,Niger,1997,10180061.0,7899454751.7521,-22.8898710708142,-21.1612325312153,-20.9622121102703
150,Nigeria,1997,113522705.0,320611988153.309,-22.0654682983451,-23.0948694666571,-21.5082493687167
151,Niue,1997,83127016.0,304760641693.8908,-22.17906536005462,-23.36678093383364,-22.06608520922164
152,Norfolk Island,1997,52731327.0,288909295234.4726,-22.29266242176414,-23.63869240101018,-22.62392104972658
153,North Korea,1997,22335638.0,273057948775.0544,-22.40625948347366,-23.91060386818672,-23.18175689023152
154,Northern Mariana Islands,1997,62528.0,257206602315.6362,-22.51985654518318,-24.18251533536326,-23.73959273073646
155,Norway,1997,4405157.0,241355255856.218,-22.6334536068927,-24.4544268025398,-24.2974285712414
156,Oman,1997,2249773.0,92284241314.7463,-22.3939232108116,-26.2512514729047,-25.7705367953434
157,Pakistan,1997,129086987.0,436809903655.477,-22.2886708044641,-23.1681218768482,-22.4881143641218
158,Palau,1997,18123.0,274419186.311624,-20.864979934607,-26.8464060203021,-22.93140566268315
159,Panama,1997,2853941.0,27960265051.5184,-22.5090271169596,-23.9138880733971,-23.3746969612445
160,Papua New Guinea,1997,5154910.0,10443937218.1036,-22.1231304168364,-20.6002260814731,-22.6426572651507
161,Paraguay,1997,4980344.0,33464886317.7391,-22.8065450859159,-22.2867029535494,-22.1768074679382
162,Peru,1997,24827406.0,163825754422.975,-22.4846919283515,-23.760679637443,-23.7044811131262
163,Philippines,1997,73064764.0,307868637739.823,-22.1177811746325,-23.9725520441293,-22.6544250235381
164,Pitcairn,1997,55857212.0,400147864928.7275,-21.5977951031561,-23.80931869933255,-23.11401379386715
165,Poland,1997,38649660.0,492427092117.632,-21.0778090316797,-23.6460853545358,-23.5736025641962
166,Portugal,1997,10108977.0,236775861281.543,-22.2383173373606,-24.7176105121727,-24.1782082055812
167,Puerto Rico,1997,3759430.0,111919872478.857,-22.19374221872397,-24.30199239235623,-29.1612810897064
168,Qatar,1997,534608.0,51823739059.0,-22.14916710008733,-23.88637427253977,-26.0794746855838
169,Republic of Congo,1997,2962470.0,13293226706.6389,-22.1045919814507,-23.4707561527233,-22.9976682814612
170,Reunion,1997,12758224.0,124906124383.0579,-21.7785443034848,-23.5807108772989,-23.321649966524
171,Romania,1997,22553978.0,236519022059.477,-21.4524966255189,-23.6906656018745,-23.6456316515868
172,Russia,1997,147915307.0,1858412496492.53,-20.9868018502018,-24.0228771426975,-24.5249597000004
173,Rwanda,1997,6522382.0,5056176864.73566,-23.0478015280691,-22.4901703171015,-20.7731721880474
174,Saint Helena,1997,3283114.0,2930679074.928601,-22.7500088615239,-23.5152443921514,-22.1708073425675
175,Saint Kitts and Nevis,1997,43846.0,805181285.121542,-22.4522161949787,-24.5403184672013,-23.5684424970876
176,Saint Lucia,1997,151086.0,1370883976.0691,-22.2171046400435,-23.5408463039865,-24.4424532402077
177,Saint Pierre and Miquelon,1997,129545.0,1060518380.849157,-22.3392864958388,-24.06739788065485,-24.2342889248233
178,Saint Vincent and the Grenadines,1997,108004.0,750152785.629215,-22.4614683516341,-24.5939494573232,-24.0261246094389
179,Samoa,1997,172198.0,676497830.615033,-22.3862915694733,-23.524371133816,-23.1886524483333
180,San Marino,1997,26508.0,469398630.7575165,-22.22821568604054,-24.2779345894351,-23.74940240576177
181,Sao Tome and Principe,1997,131107.0,262299430.9,-22.07013980260777,-25.0314980450542,-24.31015236319023
182,Saudi Arabia,1997,19505576.0,706391415799.224,-21.912063919175,-25.7850615006733,-24.8709023206187
183,Senegal,1997,9196528.0,16222619058.587,-22.3172588918437,-21.7113362603854,-22.298379553276
184,Serbia,1997,7596501.0,61891221464.1563,-20.7987693769426,-23.298778413754,-23.2829610377122
185,Seychelles,1997,77319.0,1335461110.02699,-22.0891428089478,-25.643645422182,-23.0544849649489
186,Sierra Leone,1997,4305455.0,3915151060.96964,-22.9015290373957,-22.6929718563522,-20.7967976986223
187,Singapore,1997,3796038.0,184115799738.739,-22.2548347938153,-26.0269650149337,-24.7818649093975
188,Sint Maarten,1997,4589664.5,132080890269.0453,-21.80417898083925,-25.0313089256542,-24.48155943700115
189,Slovakia,1997,5383291.0,80045980799.3515,-21.3535231678632,-24.0356528363747,-24.1812539646048
190,Slovenia,1997,1985956.0,39906707659.8815,-21.6470658327247,-24.4606287750756,-23.7375957821846
191,Solomon Islands,1997,379947.0,821684949.120169,-22.4725057920165,-24.5536501599077,-23.1196294643702
192,Somalia,1997,8137475.0,203840076956.4671,-21.0383571201318,-18.4555424769392,-18.6738526672474
193,South Africa,1997,42921506.0,406858468963.814,-21.0652704101334,-23.6544247118137,-22.7847431680967
194,South Korea,1997,45953580.0,858743906646.25,-21.4098810149865,-24.6401502658158,-23.9048071176785
195,South Sudan,1997,5814006.0,959098454608.1,-21.78942712710575,-24.5741213320854,-24.1672363949521
196,Spain,1997,40057389.0,1059453002569.95,-22.168973239225,-24.508092398355,-24.4296656722257
197,Sri Lanka,1997,18323000.0,89922234371.1768,-23.0904161971884,-24.2117432310398,-22.7334486319004
198,State of Palestine,1997,2706518.0,9178728423.96431,-23.19049353024665,-22.6306372900567,-22.263171976497
199,Sudan,1997,25410451.0,67879729978.1642,-23.2905708633049,-21.0495313490736,-21.7928953210936
200,Suriname,1997,455954.0,4594740350.581,-21.5030078755839,-23.1670081198899,-24.071315176527
201,Svalbard and Jan Mayen Islands,1997,729974.5,5260426314.728125,-21.91091416605585,-23.2038011474119,-23.47341741674745
202,Swaziland,1997,1003995.0,5926112278.87525,-22.3188204565278,-23.2405941749339,-22.8755196569679
203,Sweden,1997,8846062.0,286554844858.768,-22.3314793406446,-24.5297807903965,-24.6257464604096
204,Switzerland,1997,7088906.0,332337499603.063,-22.7696819979008,-25.5419420405554,-25.6119609532859
205,Syria,1997,15177456.0,422523749801.5315,-20.9527491042739,-23.1806302775886,-23.2536172781864
206,Taiwan,1997,21743000.0,512710000000.0,-21.1154711535425,-25.17676697121,-23.6108569473393
207,Tajikistan,1997,5934282.0,6201880974.35865,-21.6245264534116,-22.3517973239111,-25.4736171473599
208,Tanzania,1997,31635251.0,43121940270.3179,-23.409644927024,-21.4790274733851,-21.3686449521601
209,Thailand,1997,60863506.0,573425064843.98,-21.8848523210424,-24.2767559665072,-22.8029751410712
210,Timor-Leste,1997,871994.0,289907161429.3073,-22.3016616928502,-23.33936443706775,-22.08906112494595
211,Togo,1997,4534551.0,6389258014.63462,-22.718471064658,-22.4019729076283,-21.3751471088207
212,Tokelau,1997,2315638.0,3399225591.720067,-22.43076596435135,-22.61337487626265,-24.3480349512299
213,Tonga,1997,96725.0,409193168.805514,-22.1430608640447,-22.824776844897,-27.3209227936391
214,Trinidad and Tobago,1997,1260678.0,18495722246.2221,-21.0152219698669,-24.9959800511161,-24.3010619164105
215,Tunisia,1997,9384152.0,63131455620.3884,-21.9595687634434,-24.0336244076566,-23.5981317720066
216,Turkey,1997,60372499.0,800223647699.054,-22.1383864056236,-24.0163193647993,-23.987314390623
217,Turkmenistan,1997,4355114.0,18302267308.4614,-20.2299769943452,-22.6549561891337,-25.0093837616471
218,Turks and Caicos Islands,1997,16528.0,9163950693.20931,-21.10273142019385,-23.20596212826215,-23.5902892446588
219,Tuvalu,1997,9277.0,25634077.9572211,-21.9754858460425,-23.7569680673906,-22.1711947276705
220,Uganda,1997,21865931.0,21899098686.2347,-23.7084841318376,-21.6941813926457,-20.7521002106822
221,Ukraine,1997,50594105.0,227541435812.515,-20.3568252644096,-22.9634574935374,-23.6611680173138
222,United Arab Emirates,1997,2700010.0,285826009787.23,-21.9712455068461,-25.070581099313,-24.9563201481414
223,United Kingdom,1997,58316954.0,1755614682070.6,-21.9365778831903,-24.402060515472,-24.8224849870601
224,United States of America,1997,272657000.0,11400235991240.1,-21.4607498164712,-24.3804724889333,-24.6947942016928
225,United States Virgin Islands,1997,108355.0,5721388783211.553,-22.1077991810345,-23.4188813844842,-24.27861246138415
226,Uruguay,1997,3271010.0,42541575183.0064,-22.7548485455978,-22.4572902800351,-23.8624307210755
227,Uzbekistan,1997,23667000.0,54655376594.4177,-20.1334943696384,-22.392565388865,-24.34142935271
228,Vanuatu,1997,174999.0,471291296.642901,-22.4446925412616,-21.9976202447952,-23.475439561035
229,Venezuela,1997,23110178.0,360954162379.544,-21.6971764350398,-24.1771219520854,-24.6341826629952
230,Viet Nam,1997,74306900.0,173829422209.232,-22.1707046610661,-23.0144000031664,-21.5755304214784
231,Wallis and Futuna Islands,1997,55007584.66666667,135747938698.9146,-22.25213609816034,-23.30262345228097,-22.63075755690753
232,Western Sahara,1997,35708269.33333334,97666455188.5972,-22.33356753525457,-23.59084690139553,-23.68598469233667
233,Yemen,1997,16408954.0,59584971678.2798,-22.4149989723488,-23.8790703505101,-24.7412118277658
234,Zambia,1997,9666578.0,20447897511.2511,-22.8993511569727,-20.1827184713196,-21.3335540022682
235,Zimbabwe,1997,11709997.0,31860223106.5213,-21.5506080717436,-22.348078626664,-21.6900234734283
236,Afghanistan,1998,18863999.0,22908442225.2275,-22.16093763957315,-22.7364519667552,-22.65187437102385
237,Albania,1998,3128530.0,13956661343.9337,-22.7712672074027,-23.1248253068464,-23.6137252686194
238,Algeria,1998,30335732.0,297182353497.983,-22.1025996102162,-24.8408193775273,-25.1375826361564
239,American Samoa,1998,55901.0,216203353931.8227,-22.16276965001916,-23.75755136012147,-24.18803613216463
240,Andorra,1998,64142.0,135224354365.6624,-22.22293968982213,-22.67428334271563,-23.23848962817286
241,Angola,1998,15504318.0,54245354799.5022,-22.2831097296251,-21.5910153253098,-22.2889431241811
242,Anguilla,1998,7792084.5,27808443025.28456,-22.2327975486363,-23.38382656396405,-23.26720698587275
243,Antigua and Barbuda,1998,79851.0,1371531251.06693,-22.1824853676475,-25.1766378026183,-24.2454708475644
244,Argentina,1998,36241590.0,576044056175.667,-22.1293450666279,-23.4146679712327,-23.8941351333218
245,Armenia,1998,3108684.0,8206768207.22595,-21.5955994767259,-23.4244234005026,-26.0748662437035
246,Aruba,1998,87277.0,313556621451.8665,-21.4774329422328,-23.1093195662057,-24.90034467197745
247,Australia,1998,18711000.0,618906474696.507,-21.3592664077397,-22.7942157319088,-23.7258231002514
248,Austria,1998,7976789.0,290387822157.043,-22.2193279631974,-24.7678156403143,-24.6047918967056
249,Azerbaijan,1998,7913000.0,30077332946.4722,-20.4540560494779,-23.2601035891342,-25.3985470001468
250,Bahamas,1998,290060.0,6899825606.88833,-22.1370926219223,-25.4687060995302,-23.66287597174
251,Bahrain,1998,613702.0,27196596305.8658,-21.2833532769321,-27.251011527217,-25.7598123773134
252,Bangladesh,1998,126447965.0,196034560632.586,-23.0265775996537,-22.9511649296932,-22.6527742557799
253,Barbados,1998,267950.0,3718334903.38122,-21.9059487183988,-24.9800510069449,-24.0122333357026
254,Belarus,1998,10069000.0,66759058522.4725,-20.8759692097081,-22.4703156404993,-23.671701359954
255,Belgium,1998,10203008.0,355825368783.421,-21.8125658639434,-24.3110241278612,-24.4899460906346
256,Belize,1998,230284.0,1400643225.67656,-22.054276730295,-22.6906115736177,-22.485421862617
257,Benin,1998,6470265.0,10260449609.263,-22.7823540156992,-22.056313405809,-21.8055130625887
258,Bermuda,1998,60943.0,2797995910.35374,-22.51711003042905,-22.69016818252725,-24.8515613600084
259,Bhutan,1998,542155.0,1757322379.29636,-22.2518660451589,-23.3240229592455,-21.2770738064195
260,Bolivia,1998,8026254.0,35743858654.2112,-22.1716646948098,-22.199448439587,-23.2645239988512
261,Bosnia and Herzegovina,1998,3750485.0,20611764131.7866,-21.3695609494438,-23.2559977947195,-23.3249272647761
262,Botswana,1998,1669625.0,16087350634.3742,-22.1983863730681,-21.489563878943,-23.1347412904013
263,Brazil,1998,170170640.0,1905478161533.41,-22.5918563932545,-23.3577382599907,-23.3013715270548
264,British Virgin Islands,1998,19722.0,965637778316.9009,-22.5400517368105,-24.31875900408805,-24.2552742703517
265,Brunei Darussalam,1998,319222.0,25797395100.3918,-22.4882470803665,-25.2797797481854,-25.2091770136486
266,Bulgaria,1998,8256786.0,73839035783.6031,-21.115365499499,-23.6666581640426,-23.6258075271243
267,Burkina Faso,1998,10968724.0,11414797132.7147,-23.3077906628046,-21.2201933824362,-21.0507071326412
268,Burundi,1998,6186352.0,4918137902.2932,-23.6912891482402,-22.1984369737478,-20.7013446369305
269,Cambodia,1998,11597739.0,13737321724.289,-22.6738721684944,-21.7440054607463,-21.0849362774659
270,Cameroon,1998,14523570.0,35319322454.5225,-22.3671294762512,-20.1017864899717,-22.023183653948
271,Canada,1998,30247900.0,1041255284378.71,-21.4639837777022,-23.5841914716812,-23.8865094728553
