,country,year,DPT
197,Sri Lanka,2005,480.9731
198,State of Palestine,2005,
199,Sudan,2005,621.2039
200,Suriname,2005,446.8406
201,Svalbard and Jan Mayen Islands,2005,
202,Swaziland,2005,
203,Sweden,2005,43.71
204,Switzerland,2005,47.782
205,Syria,2005,611.8121
206,Taiwan,2005,658.582
207,Tajikistan,2005,32.4979
208,Tanzania,2005,380.6385
209,Thailand,2005,540.8806
210,Timor-Leste,2005,
211,Togo,2005,355.5608
212,Tokelau,2005,
213,Tonga,2005,
214,Trinidad and Tobago,2005,763.5809
215,Tunisia,2005,470.549
216,Turkey,2005,433.874
217,Turkmenistan,2005,798.9309
218,Turks and Caicos Islands,2005,
219,Tuvalu,2005,
220,Uganda,2005,
221,Ukraine,2005,336.9029
222,United Arab Emirates,2005,847.9148
223,United Kingdom,2005,495.23
224,United States of America,2005,581.463
225,United States Virgin Islands,2005,
226,Uruguay,2005,103.8608
227,Uzbekistan,2005,473.9322
228,Vanuatu,2005,
229,Venezuela,2005,208.7095
230,Viet Nam,2005,452.4411
231,Wallis and Futuna Islands,2005,
232,Western Sahara,2005,
233,Yemen,2005,849.0621
234,Zambia,2005,6.421
235,Zimbabwe,2005,639.3644
236,Afghanistan,2006,
237,Albania,2006,25.7705
238,Algeria,2006,624.5442
239,American Samoa,2006,
240,Andorra,2006,
241,Angola,2006,262.7238
242,Anguilla,2006,
243,Antigua and Barbuda,2006,
244,Argentina,2006,332.6988
245,Armenia,2006,138.9859
246,Aruba,2006,
247,Australia,2006,882.184
248,Austria,2006,217.89
249,Azerbaijan,2006,461.447
250,Bahamas,2006,
251,Bahrain,2006,793.2601
252,Bangladesh,2006,571.4922
253,Barbados,2006,
254,Belarus,2006,297.8288
255,Belgium,2006,264.034
256,Belize,2006,
257,Benin,2006,704.9156
258,Bermuda,2006,
259,Bhutan,2006,
260,Bolivia,2006,327.9575
261,Bosnia and Herzegovina,2006,850.0905
262,Botswana,2006,1298.4578
263,Brazil,2006,81.7149
264,British Virgin Islands,2006,
265,Brunei Darussalam,2006,843.52
266,Bulgaria,2006,456.7582
267,Burkina Faso,2006,
268,Burundi,2006,
269,Cambodia,2006,804.6131
270,Cameroon,2006,83.5196
271,Canada,2006,201.182
272,Cape Verde,2006,
273,Cayman Islands,2006,
274,Central African Republic,2006,
275,Chad,2006,
276,Chile,2006,307.017
277,China,2006,798.8893
278,Colombia,2006,128.8469
279,Comoros,2006,
280,Cook Islands,2006,
281,Costa Rica,2006,55.7389
282,Cote d'Ivoire,2006,387.3457
283,Croatia,2006,311.8319
284,Cuba,2006,774.671
285,Curacao,2006,697.101
286,Cyprus,2006,765.7749
287,Czech Republic,2006,535.486
288,Dem. Rep. Congo,2006,3.9084
289,Denmark,2006,355.539
290,Djibouti,2006,
291,Dominica,2006,
292,Dominican Republic,2006,627.4098
293,Ecuador,2006,375.2062
294,Egypt,2006,472.8223
295,El Salvador,2006,314.8272
296,Equatorial Guinea,2006,
297,Eritrea,2006,971.5279
298,Estonia,2006,661.408
299,Ethiopia,2006,2.9434
300,Faeroe Islands,2006,
301,Falkland Islands,2006,
302,Fiji,2006,
303,Finland,2006,254.948
304,France,2006,87.638
305,French Guiana,2006,
306,French Polynesia,2006,
307,Gabon,2006,348.0985
308,Gambia,2006,
309,Georgia,2006,150.9115
310,Germany,2006,461.519
311,Ghana,2006,278.4503
312,Gibraltar,2006,758.2914
313,Greece,2006,739.528
314,Greenland,2006,
315,Grenada,2006,
316,Guadeloupe,2006,
317,Guam,2006,
318,Guatemala,2006,376.9881
319,Guinea,2006,
320,Guinea-Bissau,2006,
321,Guyana,2006,
322,Haiti,2006,308.2667
323,Holy See,2006,
324,Honduras,2006,268.8908
325,Hong Kong,2006,767.1188
326,Hungary,2006,342.735
327,Iceland,2006,0.411
328,India,2006,770.5995
329,Indonesia,2006,747.3966
330,Iran,2006,553.7822
331,Iraq,2006,645.986
332,Ireland,2006,541.605
