,country,year,DNT
177,Saint Pierre and Miquelon,1997,
178,Saint Vincent and the Grenadines,1997,-24.5939494573232
179,Samoa,1997,-23.524371133816
180,San Marino,1997,
181,Sao Tome and Principe,1997,
182,Saudi Arabia,1997,-25.7850615006733
183,Senegal,1997,-21.7113362603854
184,Serbia,1997,-23.298778413754
185,Seychelles,1997,-25.643645422182
186,Sierra Leone,1997,-22.6929718563522
187,Singapore,1997,-26.0269650149337
188,Sint Maarten,1997,
189,Slovakia,1997,-24.0356528363747
190,Slovenia,1997,-24.4606287750756
191,Solomon Islands,1997,-24.5536501599077
192,Somalia,1997,-18.4555424769392
193,South Africa,1997,-23.6544247118137
194,South Korea,1997,-24.6401502658158
195,South Sudan,1997,
196,Spain,1997,-24.508092398355
197,Sri Lanka,1997,-24.2117432310398
198,State of Palestine,1997,
199,Sudan,1997,-21.0495313490736
200,Suriname,1997,-23.1670081198899
201,Svalbard and Jan Mayen Islands,1997,
202,Swaziland,1997,-23.2405941749339
203,Sweden,1997,-24.5297807903965
204,Switzerland,1997,-25.5419420405554
205,Syria,1997,-23.1806302775886
206,Taiwan,1997,-25.17676697121
207,Tajikistan,1997,-22.3517973239111
208,Tanzania,1997,-21.4790274733851
209,Thailand,1997,-24.2767559665072
210,Timor-Leste,1997,
211,Togo,1997,-22.4019729076283
212,Tokelau,1997,
213,Tonga,1997,-22.824776844897
214,Trinidad and Tobago,1997,-24.9959800511161
215,Tunisia,1997,-24.0336244076566
216,Turkey,1997,-24.0163193647993
217,Turkmenistan,1997,-22.6549561891337
218,Turks and Caicos Islands,1997,
219,Tuvalu,1997,-23.7569680673906
220,Uganda,1997,-21.6941813926457
221,Ukraine,1997,-22.9634574935374
222,United Arab Emirates,1997,-25.070581099313
223,United Kingdom,1997,-24.402060515472
224,United States of America,1997,-24.3804724889333
225,United States Virgin Islands,1997,
226,Uruguay,1997,-22.4572902800351
227,Uzbekistan,1997,-22.392565388865
228,Vanuatu,1997,-21.9976202447952
229,Venezuela,1997,-24.1771219520854
230,Viet Nam,1997,-23.0144000031664
231,Wallis and Futuna Islands,1997,
232,Western Sahara,1997,
233,Yemen,1997,-23.8790703505101
234,Zambia,1997,-20.1827184713196
