,country,year,DCT
178,Saint Vincent and the Grenadines,1997,-22.4614683516341
179,Samoa,1997,-22.3862915694733
180,San Marino,1997,
181,Sao Tome and Principe,1997,
182,Saudi Arabia,1997,-21.912063919175
183,Senegal,1997,-22.3172588918437
184,Serbia,1997,-20.7987693769426
185,Seychelles,1997,-22.0891428089478
186,Sierra Leone,1997,-22.9015290373957
187,Singapore,1997,-22.2548347938153
188,Sint Maarten,1997,
189,Slovakia,1997,-21.3535231678632
190,Slovenia,1997,-21.6470658327247
191,Solomon Islands,1997,-22.4725057920165
192,Somalia,1997,-21.0383571201318
193,South Africa,1997,-21.0652704101334
194,South Korea,1997,-21.4098810149865
195,South Sudan,1997,
196,Spain,1997,-22.168973239225
197,Sri Lanka,1997,-23.0904161971884
198,State of Palestine,1997,
199,Sudan,1997,-23.2905708633049
200,Suriname,1997,-21.5030078755839
201,Svalbard and Jan Mayen Islands,1997,
202,Swaziland,1997,-22.3188204565278
203,Sweden,1997,-22.3314793406446
204,Switzerland,1997,-22.7696819979008
205,Syria,1997,-20.9527491042739
206,Taiwan,1997,-21.1154711535425
207,Tajikistan,1997,-21.6245264534116
208,Tanzania,1997,-23.409644927024
209,Thailand,1997,-21.8848523210424
210,Timor-Leste,1997,
211,Togo,1997,-22.718471064658
212,Tokelau,1997,
213,Tonga,1997,-22.1430608640447
214,Trinidad and Tobago,1997,-21.0152219698669
215,Tunisia,1997,-21.9595687634434
216,Turkey,1997,-22.1383864056236
217,Turkmenistan,1997,-20.2299769943452
218,Turks and Caicos Islands,1997,
219,Tuvalu,1997,-21.9754858460425
220,Uganda,1997,-23.7084841318376
221,Ukraine,1997,-20.3568252644096
222,United Arab Emirates,1997,-21.9712455068461
223,United Kingdom,1997,-21.9365778831903
224,United States of America,1997,-21.4607498164712
225,United States Virgin Islands,1997,
226,Uruguay,1997,-22.7548485455978
227,Uzbekistan,1997,-20.1334943696384
228,Vanuatu,1997,-22.4446925412616
229,Venezuela,1997,-21.6971764350398
230,Viet Nam,1997,-22.1707046610661
231,Wallis and Futuna Islands,1997,
232,Western Sahara,1997,
233,Yemen,1997,-22.4149989723488
234,Zambia,1997,-22.8993511569727
235,Zimbabwe,1997,-21.5506080717436
236,Afghanistan,1998,
237,Albania,1998,-22.7712672074027
238,Algeria,1998,-22.1025996102162
239,American Samoa,1998,
240,Andorra,1998,
241,Angola,1998,-22.2831097296251
242,Anguilla,1998,
243,Antigua and Barbuda,1998,-22.1824853676475
244,Argentina,1998,-22.1293450666279
245,Armenia,1998,-21.5955994767259
246,Aruba,1998,
247,Australia,1998,-21.3592664077397
248,Austria,1998,-22.2193279631974
249,Azerbaijan,1998,-20.4540560494779
250,Bahamas,1998,-22.1370926219223
251,Bahrain,1998,-21.2833532769321
252,Bangladesh,1998,-23.0265775996537
253,Barbados,1998,-21.9059487183988
254,Belarus,1998,-20.8759692097081
255,Belgium,1998,-21.8125658639434
256,Belize,1998,-22.054276730295
257,Benin,1998,-22.7823540156992
258,Bermuda,1998,
259,Bhutan,1998,-22.2518660451589
260,Bolivia,1998,-22.1716646948098
261,Bosnia and Herzegovina,1998,-21.3695609494438
262,Botswana,1998,-22.1983863730681
263,Brazil,1998,-22.5918563932545
264,British Virgin Islands,1998,
265,Brunei Darussalam,1998,-22.4882470803665
266,Bulgaria,1998,-21.115365499499
267,Burkina Faso,1998,-23.3077906628046
268,Burundi,1998,-23.6912891482402
269,Cambodia,1998,-22.6738721684944
270,Cameroon,1998,-22.3671294762512
271,Canada,1998,-21.4639837777022
272,Cape Verde,1998,-22.8433817050233
273,Cayman Islands,1998,
274,Central African Republic,1998,-23.226670212844
275,Chad,1998,-24.7491109000817
276,Chile,1998,-22.1520760301606
277,China,1998,-20.9258241580458
278,Colombia,1998,-22.3670606520299
279,Comoros,1998,-22.8131941128376
280,Cook Islands,1998,
281,Costa Rica,1998,-22.6780194660271
282,Cote d'Ivoire,1998,-22.9842492377291
283,Croatia,1998,-22.0078232455962
284,Cuba,1998,-22.1397248543789
285,Curacao,1998,
286,Cyprus,1998,-21.8012518712573
287,Czech Republic,1998,-21.2646628263761
288,Dem. Rep. Congo,1998,-23.7642694227255
289,Denmark,1998,-21.9905478810253
290,Djibouti,1998,-22.2772581490575
291,Dominica,1998,-22.7145483900912
292,Dominican Republic,1998,-22.012658161184
293,Ecuador,1998,-22.139628047781
