,country,year,DBT
176,Saint Lucia,1997,-24.4424532402077
177,Saint Pierre and Miquelon,1997,
178,Saint Vincent and the Grenadines,1997,-24.0261246094389
179,Samoa,1997,-23.1886524483333
180,San Marino,1997,
181,Sao Tome and Principe,1997,
182,Saudi Arabia,1997,-24.8709023206187
183,Senegal,1997,-22.298379553276
184,Serbia,1997,-23.2829610377122
185,Seychelles,1997,-23.0544849649489
186,Sierra Leone,1997,-20.7967976986223
187,Singapore,1997,-24.7818649093975
188,Sint Maarten,1997,
189,Slovakia,1997,-24.1812539646048
190,Slovenia,1997,-23.7375957821846
191,Solomon Islands,1997,-23.1196294643702
192,Somalia,1997,-18.6738526672474
193,South Africa,1997,-22.7847431680967
194,South Korea,1997,-23.9048071176785
195,South Sudan,1997,
196,Spain,1997,-24.4296656722257
197,Sri Lanka,1997,-22.7334486319004
198,State of Palestine,1997,
199,Sudan,1997,-21.7928953210936
200,Suriname,1997,-24.071315176527
201,Svalbard and Jan Mayen Islands,1997,
202,Swaziland,1997,-22.8755196569679
203,Sweden,1997,-24.6257464604096
204,Switzerland,1997,-25.6119609532859
205,Syria,1997,-23.2536172781864
206,Taiwan,1997,-23.6108569473393
207,Tajikistan,1997,-25.4736171473599
208,Tanzania,1997,-21.3686449521601
209,Thailand,1997,-22.8029751410712
210,Timor-Leste,1997,
211,Togo,1997,-21.3751471088207
212,Tokelau,1997,
213,Tonga,1997,-27.3209227936391
214,Trinidad and Tobago,1997,-24.3010619164105
215,Tunisia,1997,-23.5981317720066
216,Turkey,1997,-23.987314390623
217,Turkmenistan,1997,-25.0093837616471
218,Turks and Caicos Islands,1997,
219,Tuvalu,1997,
220,Uganda,1997,-20.7521002106822
221,Ukraine,1997,-23.6611680173138
222,United Arab Emirates,1997,-24.9563201481414
223,United Kingdom,1997,-24.8224849870601
224,United States of America,1997,-24.6947942016928
225,United States Virgin Islands,1997,
226,Uruguay,1997,-23.8624307210755
227,Uzbekistan,1997,-24.34142935271
228,Vanuatu,1997,-23.475439561035
229,Venezuela,1997,-24.6341826629952
230,Viet Nam,1997,-21.5755304214784
231,Wallis and Futuna Islands,1997,
232,Western Sahara,1997,
233,Yemen,1997,-24.7412118277658
234,Zambia,1997,-21.3335540022682
235,Zimbabwe,1997,-21.6900234734283
236,Afghanistan,1998,
237,Albania,1998,-23.6137252686194
238,Algeria,1998,-25.1375826361564
239,American Samoa,1998,
240,Andorra,1998,
241,Angola,1998,-22.2889431241811
242,Anguilla,1998,
243,Antigua and Barbuda,1998,-24.2454708475644
244,Argentina,1998,-23.8941351333218
245,Armenia,1998,-26.0748662437035
246,Aruba,1998,
247,Australia,1998,-23.7258231002514
248,Austria,1998,-24.6047918967056
249,Azerbaijan,1998,-25.3985470001468
250,Bahamas,1998,-23.66287597174
251,Bahrain,1998,-25.7598123773134
252,Bangladesh,1998,-22.6527742557799
253,Barbados,1998,-24.0122333357026
254,Belarus,1998,-23.671701359954
255,Belgium,1998,-24.4899460906346
256,Belize,1998,-22.485421862617
257,Benin,1998,-21.8055130625887
258,Bermuda,1998,-24.8515613600084
259,Bhutan,1998,-21.2770738064195
260,Bolivia,1998,-23.2645239988512
261,Bosnia and Herzegovina,1998,-23.3249272647761
262,Botswana,1998,-23.1347412904013
263,Brazil,1998,-23.3013715270548
264,British Virgin Islands,1998,
265,Brunei Darussalam,1998,-25.2091770136486
266,Bulgaria,1998,-23.6258075271243
267,Burkina Faso,1998,-21.0507071326412
268,Burundi,1998,-20.7013446369305
269,Cambodia,1998,-21.0849362774659
270,Cameroon,1998,-22.023183653948
271,Canada,1998,-23.8865094728553
272,Cape Verde,1998,-23.4216778506795
273,Cayman Islands,1998,
274,Central African Republic,1998,-21.1004061362911
275,Chad,1998,-21.3377819859512
276,Chile,1998,-23.4450612917952
277,China,1998,-21.952708217879
278,Colombia,1998,-23.8881538917849
279,Comoros,1998,-22.4967098374744
280,Cook Islands,1998,
281,Costa Rica,1998,-24.0968168125913
282,Cote d'Ivoire,1998,-22.5058981654761
283,Croatia,1998,-24.0365164569196
284,Cuba,1998,-23.1474316403711
285,Curacao,1998,
286,Cyprus,1998,-23.7395600584044
287,Czech Republic,1998,-24.0101361224633
288,Dem. Rep. Congo,1998,-20.6859418783897
289,Denmark,1998,-24.8482033363682
290,Djibouti,1998,-21.6847341979658
291,Dominica,1998,-24.0012938083045
292,Dominican Republic,1998,-23.1610717962275
293,Ecuador,1998,-23.4718888927668
294,Egypt,1998,-24.0270179898502
295,El Salvador,1998,-22.9728590980176
296,Equatorial Guinea,1998,-23.0152376089313
297,Eritrea,1998,-22.300500584807
298,Estonia,1998,-23.3039377223532
299,Ethiopia,1998,-20.7778162081109
300,Faeroe Islands,1998,
301,Falkland Islands,1998,
302,Fiji,1998,-23.535067743643
303,Finland,1998,-23.5746770630633
304,France,1998,-24.2413540250104
305,French Guiana,1998,
306,French Polynesia,1998,
307,Gabon,1998,-23.2922717773907
308,Gambia,1998,-21.9484162605157
309,Georgia,1998,-22.8904131963655
310,Germany,1998,-25.0599882173004
311,Ghana,1998,-21.9666103136541
312,Gibraltar,1998,
313,Greece,1998,-24.2041333822039
314,Greenland,1998,
315,Grenada,1998,-23.8787499065602
316,Guadeloupe,1998,
317,Guam,1998,
318,Guatemala,1998,-22.9344574858402
319,Guinea,1998,-21.1810121169522
320,Guinea-Bissau,1998,-21.8345726434838
321,Guyana,1998,-22.7121381194246
322,Haiti,1998,-22.0598337579484
323,Holy See,1998,
324,Honduras,1998,-22.3599760643884
325,Hong Kong,1998,-23.9237656829987
326,Hungary,1998,-24.3528808524642
327,Iceland,1998,-24.7569894814936
328,India,1998,-22.0876128117185
329,Indonesia,1998,-22.6571245057297
330,Iran,1998,-24.4425181163574
331,Iraq,1998,-24.2470108922881
332,Ireland,1998,-24.4821594015876
333,Isle of Man,1998,
334,Israel,1998,-25.3368087919285
335,Italy,1998,-24.6375477386252
336,Jamaica,1998,-23.6474581620664
337,Japan,1998,-24.780516985953
338,Jordan,1998,-24.3042243631293
339,Kazakhstan,1998,-23.7815024574242
340,Kenya,1998,-21.7338979569366
341,Kiribati,1998,-23.7744313819948
342,Kosovo,1998,
343,Kuwait,1998,-26.2670269835823
344,Kyrgyzstan,1998,-23.6122897854654
345,Laos,1998,-22.1061882896343
346,Latvia,1998,-23.1644754427843
347,Lebanon,1998,-24.8428425175376
348,Lesotho,1998,-21.7385015514318
349,Liberia,1998,-20.2303674417838
350,Libya,1998,-24.2441978576804
351,Liechtenstein,1998,
352,Lithuania,1998,-23.7331075331249
353,Luxembourg,1998,-24.1199389467732
354,Macao,1998,-24.8967633537297
355,Macedonia,1998,-23.6549181895407
356,Madagascar,1998,-21.6684247542555
357,Malawi,1998,-21.375266964967
358,Malaysia,1998,-23.7765387034939
359,Maldives,1998,
360,Mali,1998,-21.9329611231075
361,Malta,1998,-24.1976577093245
362,Marshall Islands,1998,
363,Martinique,1998,
364,Mauritania,1998,-21.8687707325186
365,Mauritius,1998,-23.4715725924457
366,Mayotte,1998,
367,Mexico,1998,-24.4475546412323
368,Micronesia,1998,-27.7765545020593
369,Moldova,1998,-23.8558039332771
370,Monaco,1998,
371,Mongolia,1998,-23.3556791768588
372,Montenegro,1998,-21.052055756024
373,Montserrat,1998,
374,Morocco,1998,-23.9678953607696
375,Mozambique,1998,-20.4410897772684
376,Myanmar,1998,-21.1894575863296
377,Namibia,1998,-23.4800712778628
378,Nauru,1998,
379,Nepal,1998,-21.4387003267771
380,Netherlands,1998,-24.8483002846843
381,Netherlands Antilles,1998,
382,New Caledonia,1998,
383,New Zealand,1998,-24.0552069740577
384,Nicaragua,1998,-22.3240817233742
385,Niger,1998,-21.0188172538946
386,Nigeria,1998,-21.5208277743143
387,Niue,1998,
388,Norfolk Island,1998,
389,North Korea,1998,
390,Northern Mariana Islands,1998,
391,Norway,1998,-24.3136004617957
392,Oman,1998,-26.0012902226067
393,Pakistan,1998,-22.4806398656722
394,Palau,1998,
395,Panama,1998,-23.3768991823088
396,Papua New Guinea,1998,-22.6099274895667
397,Paraguay,1998,-22.221911117887
398,Peru,1998,-23.7137516978869
399,Philippines,1998,-22.6906278720216
400,Pitcairn,1998,
401,Poland,1998,-23.7167530026057
402,Portugal,1998,-24.1959634923456
403,Puerto Rico,1998,-29.3052645651228
404,Qatar,1998,
405,Republic of Congo,1998,-22.9876289904647
406,Reunion,1998,
407,Romania,1998,-23.7303808462342
408,Russia,1998,-24.4702445673682
409,Rwanda,1998,-20.8248841158703
410,Saint Helena,1998,
411,Saint Kitts and Nevis,1998,-23.6039313208408
412,Saint Lucia,1998,-24.208675301287
413,Saint Pierre and Miquelon,1998,
414,Saint Vincent and the Grenadines,1998,-23.7217431821304
415,Samoa,1998,-23.255348975694
416,San Marino,1998,
417,Sao Tome and Principe,1998,
418,Saudi Arabia,1998,-24.8471164481117
419,Senegal,1998,-22.3147658438693
420,Serbia,1998,-23.3257911949957
421,Seychelles,1998,-23.2114083320008
422,Sierra Leone,1998,-20.7934564464937
423,Singapore,1998,-24.764368788122
424,Sint Maarten,1998,
425,Slovakia,1998,-24.3182490943332
426,Slovenia,1998,-23.9824504971878
427,Solomon Islands,1998,-23.1480584666147
428,Somalia,1998,-18.9713240040123
429,South Africa,1998,-22.7924267302573
