,country,year,population
195,South Sudan,1997,5814006.0
196,Spain,1997,40057389.0
197,Sri Lanka,1997,18323000.0
198,State of Palestine,1997,2706518.0
199,Sudan,1997,25410451.0
200,Suriname,1997,455954.0
201,Svalbard and Jan Mayen Islands,1997,
202,Swaziland,1997,1003995.0
203,Sweden,1997,8846062.0
204,Switzerland,1997,7088906.0
205,Syria,1997,15177456.0
206,Taiwan,1997,21743000.0
207,Tajikistan,1997,5934282.0
208,Tanzania,1997,31635251.0
209,Thailand,1997,60863506.0
210,Timor-Leste,1997,871994.0
211,Togo,1997,4534551.0
212,Tokelau,1997,
213,Tonga,1997,96725.0
214,Trinidad and Tobago,1997,1260678.0
215,Tunisia,1997,9384152.0
216,Turkey,1997,60372499.0
217,Turkmenistan,1997,4355114.0
218,Turks and Caicos Islands,1997,16528.0
219,Tuvalu,1997,9277.0
220,Uganda,1997,21865931.0
221,Ukraine,1997,50594105.0
222,United Arab Emirates,1997,2700010.0
223,United Kingdom,1997,58316954.0
224,United States of America,1997,272657000.0
225,United States Virgin Islands,1997,108355.0
226,Uruguay,1997,3271010.0
227,Uzbekistan,1997,23667000.0
228,Vanuatu,1997,174999.0
229,Venezuela,1997,23110178.0
230,Viet Nam,1997,74306900.0
231,Wallis and Futuna Islands,1997,
232,Western Sahara,1997,
233,Yemen,1997,16408954.0
234,Zambia,1997,9666578.0
235,Zimbabwe,1997,11709997.0
236,Afghanistan,1998,18863999.0
237,Albania,1998,3128530.0
238,Algeria,1998,30335732.0
239,American Samoa,1998,55901.0
240,Andorra,1998,64142.0
241,Angola,1998,15504318.0
242,Anguilla,1998,
243,Antigua and Barbuda,1998,79851.0
244,Argentina,1998,36241590.0
245,Armenia,1998,3108684.0
246,Aruba,1998,87277.0
247,Australia,1998,18711000.0
248,Austria,1998,7976789.0
249,Azerbaijan,1998,7913000.0
250,Bahamas,1998,290060.0
251,Bahrain,1998,613702.0
252,Bangladesh,1998,126447965.0
253,Barbados,1998,267950.0
254,Belarus,1998,10069000.0
255,Belgium,1998,10203008.0
256,Belize,1998,230284.0
257,Benin,1998,6470265.0
258,Bermuda,1998,60943.0
259,Bhutan,1998,542155.0
260,Bolivia,1998,8026254.0
261,Bosnia and Herzegovina,1998,3750485.0
262,Botswana,1998,1669625.0
263,Brazil,1998,170170640.0
264,British Virgin Islands,1998,19722.0
265,Brunei Darussalam,1998,319222.0
266,Bulgaria,1998,8256786.0
267,Burkina Faso,1998,10968724.0
268,Burundi,1998,6186352.0
269,Cambodia,1998,11597739.0
270,Cameroon,1998,14523570.0
271,Canada,1998,30247900.0
272,Cape Verde,1998,417323.0
273,Cayman Islands,1998,37740.0
274,Central African Republic,1998,3597385.0
275,Chad,1998,7759258.0
276,Chile,1998,14887756.0
277,China,1998,1241935000.0
278,Colombia,1998,39234062.0
279,Comoros,1998,515385.0
280,Cook Islands,1998,
281,Costa Rica,1998,3767373.0
282,Cote d'Ivoire,1998,15884552.0
283,Croatia,1998,4501000.0
284,Cuba,1998,11064097.0
285,Curacao,1998,144472.0
286,Cyprus,1998,908704.0
287,Czech Republic,1998,10294373.0
288,Dem. Rep. Congo,1998,44840529.0
289,Denmark,1998,5304219.0
290,Djibouti,1998,680612.0
291,Dominica,1998,70290.0
292,Dominican Republic,1998,8296375.0
293,Ecuador,1998,12163885.0
294,Egypt,1998,67378056.0
295,El Salvador,1998,5778706.0
296,Equatorial Guinea,1998,566673.0
297,Eritrea,1998,3683000.0
298,Estonia,1998,1386156.0
299,Ethiopia,1998,62794151.0
300,Faeroe Islands,1998,46580.0
301,Falkland Islands,1998,
302,Fiji,1998,800315.0
303,Finland,1998,5153498.0
304,France,1998,60186291.0
305,French Guiana,1998,
306,French Polynesia,1998,228376.0
307,Gabon,1998,1171224.0
308,Gambia,1998,1160944.0
309,Georgia,1998,4487300.0
310,Germany,1998,82047195.0
311,Ghana,1998,18036494.0
312,Gibraltar,1998,30801.0
313,Greece,1998,10720509.0
314,Greenland,1998,56100.0
315,Grenada,1998,101309.0
316,Guadeloupe,1998,
317,Guam,1998,152277.0
318,Guatemala,1998,11133501.0
319,Guinea,1998,8503297.0
320,Guinea-Bissau,1998,1199915.0
321,Guyana,1998,757952.0
322,Haiti,1998,8258483.0
323,Holy See,1998,
324,Honduras,1998,6192026.0
325,Hong Kong,1998,6543700.0
326,Hungary,1998,10266570.0
327,Iceland,1998,274047.0
328,India,1998,1015974042.0
329,Indonesia,1998,205715544.0
330,Iran,1998,63900630.0
331,Iraq,1998,22190250.0
332,Ireland,1998,3712696.0
333,Isle of Man,1998,71390.0
334,Israel,1998,5971000.0
335,Italy,1998,56906744.0
336,Jamaica,1998,2611367.0
337,Japan,1998,126400000.0
338,Jordan,1998,4927912.0
339,Kazakhstan,1998,15071300.0
340,Kenya,1998,29769803.0
341,Kiribati,1998,81550.0
342,Kosovo,1998,1966000.0
343,Kuwait,1998,1836353.0
344,Kyrgyzstan,1998,4769000.0
345,Laos,1998,5150763.0
346,Latvia,1998,2410019.0
347,Lebanon,1998,3113951.0
348,Lesotho,1998,1831298.0
349,Liberia,1998,2551062.0
350,Libya,1998,5195502.0
351,Liechtenstein,1998,32355.0
352,Lithuania,1998,3549331.0
353,Luxembourg,1998,424700.0
354,Macao,1998,409837.0
355,Macedonia,1998,2012057.0
356,Madagascar,1998,14808791.0
357,Malawi,1998,10704744.0
358,Malaysia,1998,22113464.0
359,Maldives,1998,271000.0
360,Mali,1998,10380835.0
361,Malta,1998,385287.0
362,Marshall Islands,1998,51925.0
363,Martinique,1998,
364,Mauritania,1998,2549223.0
365,Mauritius,1998,1160421.0
366,Mayotte,1998,
367,Mexico,1998,98821456.0
368,Micronesia,1998,108238.0
369,Moldova,1998,3652732.0
370,Monaco,1998,31523.0
371,Mongolia,1998,2355590.0
372,Montenegro,1998,607662.0
373,Montserrat,1998,
374,Morocco,1998,28175263.0
375,Mozambique,1998,17136780.0
376,Myanmar,1998,44959935.0
377,Namibia,1998,1810566.0
378,Nauru,1998,10054.0
379,Nepal,1998,22856305.0
380,Netherlands,1998,15707209.0
381,Netherlands Antilles,1998,
382,New Caledonia,1998,205279.0
383,New Zealand,1998,3815000.0
384,Nicaragua,1998,4869626.0
385,Niger,1998,10556549.0
386,Nigeria,1998,116385750.0
387,Niue,1998,
388,Norfolk Island,1998,
389,North Korea,1998,22537336.0
390,Northern Mariana Islands,1998,65474.0
391,Norway,1998,4431464.0
392,Oman,1998,2251875.0
393,Pakistan,1998,132253264.0
394,Palau,1998,18524.0
395,Panama,1998,2912328.0
396,Papua New Guinea,1998,5291178.0
397,Paraguay,1998,5089310.0
398,Peru,1998,25199748.0
399,Philippines,1998,74693695.0
400,Pitcairn,1998,
401,Poland,1998,38663481.0
402,Portugal,1998,10160196.0
403,Puerto Rico,1998,3781101.0
404,Qatar,1998,550430.0
405,Republic of Congo,1998,3048453.0
406,Reunion,1998,
407,Romania,1998,22507344.0
408,Russia,1998,147670692.0
409,Rwanda,1998,7059813.0
410,Saint Helena,1998,
411,Saint Kitts and Nevis,1998,44317.0
412,Saint Lucia,1998,153183.0
